,doctor_altruism,doctor_likes_soldier,doctor_likes_actor,doctor_has_food,doctor_has_meds,soldier_altruism,soldier_likes_doctor,soldier_likes_actor,soldier_has_food,soldier_has_meds,actor_altruism,actor_likes_doctor,actor_likes_soldier,actor_has_food,actor_has_meds,food_quantity,meds_quantity,active,results
28,1,2,1,1,1,2,-2,0,1,1,1,-2,1,0,1,1,0,soldier,
29,2,2,1,0,1,-1,0,-1,0,1,-2,0,0,1,1,1,0,soldier,
30,1,2,2,0,0,-1,2,1,1,0,-2,-1,-1,1,0,1,0,soldier,
31,2,2,-1,1,1,1,2,2,0,1,0,1,2,0,1,1,0,actor,
32,0,-1,0,1,0,1,-1,2,1,1,0,0,-2,0,0,0,0,soldier,
33,0,1,-1,0,0,-1,2,2,0,1,-2,-1,-2,0,1,0,0,soldier,
34,0,2,1,1,1,-2,2,-2,0,0,2,2,1,0,1,1,1,actor,
35,2,-2,1,1,0,2,1,2,0,1,-1,-2,-2,1,1,1,0,doctor,
36,-1,2,-2,1,0,-2,0,1,0,1,0,-2,0,0,1,1,1,actor,
37,0,-1,2,1,1,1,0,-1,0,1,0,-2,-1,0,0,0,0,actor,
38,2,1,0,1,1,-1,-2,-1,0,1,-1,1,-2,0,0,0,1,actor,
39,0,2,-2,1,0,1,2,0,1,0,2,2,2,0,1,1,0,actor,
40,2,2,-2,0,1,2,-1,-1,1,0,1,-1,-1,0,0,0,0,actor,
41,1,2,-2,0,0,-1,-2,2,1,1,1,0,-1,0,0,1,1,actor,
42,-2,-1,-1,1,1,2,0,2,0,0,1,-2,-1,1,0,0,1,soldier,
43,2,1,0,0,1,-1,2,1,1,0,-1,2,1,0,0,0,0,actor,
44,1,1,1,1,0,2,2,-1,0,1,0,0,2,1,1,0,0,doctor,
45,-2,-1,2,1,1,-1,-2,0,0,0,1,0,2,0,0,1,0,doctor,
46,0,2,-2,0,1,0,1,0,0,1,0,0,-2,1,1,1,0,actor,
47,2,2,0,1,1,-2,1,1,1,0,-1,1,-1,1,0,0,0,doctor,
48,1,2,-2,0,1,-2,0,2,0,0,2,-2,1,0,0,0,0,soldier,
49,0,-1,-1,1,0,-2,1,0,1,0,1,2,2,1,1,1,1,doctor,
50,-1,-2,1,1,0,-1,-1,-1,0,0,-2,0,0,1,0,0,0,actor,
51,0,1,1,1,1,1,0,2,1,0,1,2,-1,0,1,0,1,soldier,
52,-2,0,0,1,1,-1,0,2,1,1,-2,0,1,1,1,0,1,actor,
53,1,0,2,1,1,0,1,-1,1,1,2,-2,0,0,0,1,0,doctor,
54,1,2,1,0,0,-2,0,-1,0,0,2,-1,2,1,1,0,1,doctor,
55,-1,0,1,1,0,2,2,1,1,1,-2,2,1,1,0,1,0,doctor,
56,-1,-2,-2,0,1,0,-2,-1,0,0,0,1,0,0,0,0,1,actor,
57,2,0,-2,0,1,2,2,-2,0,0,1,-1,2,0,0,0,0,soldier,
58,-1,2,2,0,1,2,0,-1,1,1,2,-2,0,1,1,0,0,doctor,
59,-2,1,-2,1,0,-1,1,0,1,0,-2,0,-2,1,1,0,1,doctor,
60,-1,2,2,1,1,1,1,1,1,0,-2,0,-2,1,0,1,0,doctor,
61,0,1,-1,0,1,-2,0,1,0,1,0,0,2,0,1,1,1,actor,
62,2,2,-2,0,0,-2,-1,2,0,0,2,-2,2,0,0,0,1,doctor,
63,-2,-2,0,1,1,1,-1,1,1,1,1,-2,-2,1,1,1,0,actor,
64,2,0,-1,1,0,1,1,-1,1,1,2,-2,0,0,1,0,1,soldier,
65,-1,1,-2,1,0,0,-1,-2,1,1,-2,1,-2,1,1,0,1,doctor,
66,1,1,2,1,1,0,2,-2,1,1,1,1,-1,0,1,1,0,soldier,
67,-1,2,1,1,0,1,2,1,0,0,2,0,1,0,1,0,1,soldier,
68,-2,-2,-1,0,0,-2,-2,2,0,0,-2,0,1,0,1,1,0,doctor,
69,1,-2,1,0,1,1,-2,2,1,1,-2,-1,-1,1,1,1,0,actor,
70,-1,2,1,0,1,-1,2,0,1,0,-1,-2,-1,1,0,0,0,soldier,
71,-2,-1,2,1,0,-2,0,2,1,1,2,0,-2,1,0,0,0,doctor,
72,-1,2,1,0,0,1,2,2,1,1,-2,0,-1,1,0,1,1,actor,
73,-1,-1,-1,1,0,2,-2,-2,1,0,-2,-2,-2,1,0,0,1,soldier,
74,2,0,2,0,1,2,-2,2,0,1,1,2,-2,0,1,0,1,doctor,
75,1,2,0,0,0,-2,-1,-1,1,0,-1,1,-2,1,0,1,1,doctor,
76,-2,-1,2,0,0,1,1,2,0,1,2,-1,-2,1,0,0,1,soldier,
77,-2,0,-1,1,1,-1,2,0,1,0,1,-2,-2,1,1,1,1,doctor,
78,-2,0,1,1,0,-1,0,1,0,0,-1,0,2,0,0,0,1,actor,
79,-1,0,-1,0,1,-2,-1,-2,1,0,-2,-2,1,1,0,0,1,doctor,
80,2,2,0,1,1,2,1,-1,1,1,-1,-1,0,0,0,1,1,soldier,
81,1,2,-1,1,1,2,-1,1,0,1,-1,0,0,0,0,1,0,soldier,
82,2,2,1,0,1,0,2,1,0,0,-2,-2,0,0,0,0,0,soldier,
83,-2,0,-1,0,1,-2,-1,-1,0,1,-2,-2,1,1,1,1,1,soldier,
84,2,2,-1,0,1,0,-1,0,0,1,2,2,-1,1,0,0,1,doctor,
85,1,2,2,1,0,0,1,0,1,0,0,0,-2,0,0,0,1,doctor,
86,2,-2,-2,1,1,-2,-1,2,1,0,0,-1,2,0,1,1,1,soldier,
87,1,-1,0,1,0,1,2,-2,0,1,-2,-2,1,0,1,0,1,actor,
88,1,-1,-1,0,0,0,-1,0,0,0,2,2,-2,0,0,1,1,soldier,
89,-1,0,1,0,0,0,0,-1,0,1,2,0,0,0,1,0,1,soldier,
90,2,1,-1,1,0,1,2,-1,1,1,0,0,1,0,1,0,0,soldier,
91,2,2,2,0,0,-2,2,1,1,0,2,1,-1,0,0,1,1,soldier,
92,2,1,0,1,1,-2,1,0,0,1,-1,-1,1,0,0,0,1,doctor,
93,-1,0,-1,1,0,2,0,0,0,0,2,1,-1,0,0,0,0,doctor,
94,-2,-2,-2,1,0,-2,-1,0,1,1,1,-2,1,0,1,0,0,actor,
95,1,-2,-1,1,0,-1,-1,1,0,1,1,0,-2,0,0,1,0,actor,
96,2,1,-1,1,0,-1,-2,2,0,1,-1,0,1,1,1,1,1,doctor,
97,0,0,1,0,1,0,1,-2,0,1,-1,2,1,0,1,1,1,doctor,
98,2,0,2,0,1,-1,-2,2,0,0,1,-2,-2,0,1,0,0,actor,
99,0,0,-2,0,1,1,-1,1,0,0,-2,1,-1,1,0,0,1,soldier,
100,-2,0,0,0,0,-1,2,-2,0,0,-2,-1,2,0,0,0,0,doctor,
101,0,1,2,1,1,-1,1,2,1,1,1,-2,1,0,0,0,0,actor,
102,-2,2,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,doctor,
103,-2,2,2,0,1,0,1,2,0,1,2,1,-2,1,1,0,1,doctor,
104,0,2,1,1,0,1,-1,2,0,0,1,2,-2,1,1,0,1,actor,
105,-1,2,1,0,0,-1,-2,-2,1,0,-2,0,-2,1,1,1,1,doctor,
106,-2,2,-1,1,0,0,1,-1,1,1,-2,-2,-1,1,1,0,1,doctor,
107,1,-2,-1,0,1,1,2,1,0,0,1,2,2,0,1,1,0,soldier,
108,-1,2,-1,0,1,2,-1,0,0,0,-2,0,2,0,1,0,1,actor,
109,-2,0,2,1,0,0,1,2,1,0,-1,-2,-2,0,1,0,1,soldier,
110,1,-1,0,1,0,-2,-1,2,1,0,-2,2,-1,0,0,0,0,actor,
111,-1,-2,-2,1,0,2,0,1,0,0,2,-2,-2,0,1,1,1,soldier,
112,1,1,2,1,1,0,2,2,1,0,1,1,1,0,0,1,1,soldier,
113,-2,-1,1,0,1,-1,1,-1,0,0,-1,-1,2,0,0,1,0,doctor,
114,1,-2,0,0,1,2,0,1,0,1,2,2,-1,1,1,0,0,doctor,
115,1,2,0,1,0,1,1,-2,0,0,-1,-2,1,1,0,0,1,doctor,
116,0,-1,2,0,0,-2,0,0,0,1,1,0,-1,1,0,1,0,soldier,
117,2,-1,2,0,1,2,1,-1,1,1,2,1,-2,1,0,0,0,soldier,
118,1,-2,-1,0,0,1,0,-2,0,0,0,0,-1,0,1,1,0,doctor,
119,-2,-2,0,0,1,0,-2,-2,1,1,-1,0,-1,1,1,1,0,soldier,
120,1,-1,-2,0,1,1,-1,-1,0,1,1,2,2,0,0,1,1,actor,
121,-1,-2,1,1,0,0,-2,1,0,1,2,1,0,1,1,0,0,soldier,
122,0,0,-2,0,1,-1,-1,0,1,0,0,-2,2,0,0,0,1,actor,
123,1,2,-2,0,0,-2,-1,2,1,0,1,0,2,0,1,0,1,soldier,
124,-1,1,-2,1,1,0,-1,2,0,0,-1,0,-2,1,1,1,1,soldier,
125,-2,1,-2,1,1,1,2,0,0,1,-1,-1,2,1,0,0,0,soldier,
126,1,0,-2,0,1,1,-1,-2,1,0,2,-1,-1,1,1,1,1,actor,
127,1,-1,-1,1,0,1,2,0,0,0,-1,-1,2,0,0,1,1,doctor,
128,1,0,-1,0,0,1,1,-2,1,1,1,2,2,1,1,1,0,soldier,
129,1,-1,0,1,1,-2,1,-2,1,1,2,-2,-1,0,0,1,0,actor,
130,2,0,0,1,0,0,2,2,0,0,1,-2,-1,0,1,0,1,doctor,
131,2,-1,-1,0,1,-1,2,2,0,0,-1,0,-2,1,1,1,0,doctor,
132,2,1,-2,1,0,2,-1,0,0,1,2,-2,0,1,0,1,1,actor,
133,-1,2,1,1,1,-1,-1,-2,0,1,-1,-1,-1,0,0,0,0,doctor,
134,0,-2,-2,0,1,0,1,1,0,1,2,2,-2,1,0,1,1,soldier,
135,0,2,-1,1,0,-1,0,2,1,1,2,2,2,0,1,1,0,actor,
136,1,1,-1,0,0,-2,0,2,1,0,2,-1,2,1,1,1,1,doctor,
137,-2,2,-1,0,0,0,-2,-1,0,0,-2,2,1,0,0,1,0,doctor,
138,-1,0,-1,0,1,-1,2,0,1,1,2,1,-1,0,0,0,0,soldier,
139,0,-1,0,1,1,-1,0,1,1,0,2,-1,0,1,1,1,0,doctor,
140,0,0,1,0,0,2,1,-2,1,0,-2,-2,-2,0,0,0,1,actor,
141,2,2,2,1,1,-2,-1,0,1,0,-2,2,-1,0,0,0,0,doctor,
142,2,2,-2,1,0,1,0,0,1,0,1,1,-2,1,1,1,1,doctor,
143,1,-1,0,1,0,-1,-2,-1,0,0,-2,-2,0,0,1,0,1,doctor,
144,-2,0,-2,0,1,2,-2,-2,1,0,2,-1,0,0,0,1,1,actor,
145,-2,1,-1,1,1,1,1,2,1,0,2,0,2,1,0,0,0,actor,
146,1,2,1,0,0,1,0,1,0,1,-1,2,-1,0,1,0,0,actor,
147,2,-2,0,0,1,2,0,1,0,0,0,1,-2,1,0,0,1,actor,
148,0,-2,1,0,0,0,1,-2,0,1,1,1,0,1,0,1,1,doctor,
149,2,-2,1,0,0,0,-2,-2,1,0,0,1,-1,1,0,0,0,doctor,
150,-1,1,-2,0,1,2,1,-1,0,1,-2,0,-1,1,1,0,0,doctor,
151,1,2,-1,1,0,1,2,2,1,0,0,-2,-1,0,1,0,0,actor,
152,0,-1,2,1,0,-2,1,-2,1,0,2,-2,-1,0,0,1,1,doctor,
153,-2,0,1,0,1,-2,2,-1,0,0,1,1,2,0,0,1,0,actor,
154,-1,-2,1,1,0,2,0,2,1,1,-1,2,0,0,0,1,1,actor,
155,-2,-2,2,1,1,2,0,2,1,1,-2,-2,1,1,1,0,0,actor,
156,2,2,-2,0,0,2,-2,-2,1,1,-2,1,-1,0,1,1,0,actor,
157,-2,0,-1,1,1,-2,0,0,1,0,2,2,2,0,1,1,1,soldier,
158,-2,1,-1,1,1,2,-2,2,1,0,-1,-1,-1,1,0,0,1,doctor,
159,1,1,1,1,0,2,0,1,1,1,2,2,-2,0,1,1,1,doctor,
160,2,0,-1,1,0,0,-2,0,0,0,2,1,-1,0,1,1,0,actor,
161,-1,-1,0,1,1,-1,1,1,0,1,-1,1,-1,0,1,1,0,actor,
162,2,2,-1,0,0,2,1,1,1,0,-1,0,1,1,1,0,1,soldier,
163,0,0,-1,1,0,1,0,0,0,1,-1,1,-1,1,1,0,0,soldier,
164,0,1,-1,0,1,2,-1,2,1,0,1,1,2,1,1,1,0,soldier,
165,-2,-2,-1,0,1,-2,-1,-1,1,0,-1,1,2,0,0,0,1,soldier,
166,-2,-1,2,1,0,2,2,-2,1,0,0,2,2,0,1,0,0,doctor,
167,0,2,-2,0,1,1,2,-2,0,1,0,1,0,1,1,0,1,doctor,
168,2,2,0,1,1,2,-1,1,1,0,-2,2,-2,0,0,1,1,doctor,
169,1,-2,-2,1,1,0,-1,-2,0,1,-2,-1,-2,0,1,0,1,actor,
170,0,1,0,1,1,-2,-1,-1,0,1,-2,0,-1,0,1,0,1,doctor,
171,2,1,0,1,0,-2,0,-1,0,1,0,1,2,0,1,0,0,actor,
172,-2,-1,2,0,1,0,2,-1,1,0,1,-1,-2,0,0,1,0,doctor,
173,2,0,-2,0,0,1,1,1,0,1,1,0,-1,1,1,1,0,doctor,
174,0,2,0,0,0,-2,2,-2,0,1,0,2,0,0,0,1,0,doctor,
175,-2,-1,0,0,0,2,1,2,1,1,-1,1,1,0,1,0,0,doctor,
176,2,0,0,0,1,-1,-1,-1,0,1,2,-1,0,0,0,0,1,actor,
177,1,-2,-2,0,0,0,2,2,1,1,2,-1,2,0,1,0,0,actor,
178,-1,-1,-2,0,0,2,1,-2,0,0,-1,-2,-2,0,0,1,1,doctor,
179,1,0,1,1,0,-2,2,2,0,1,0,-2,0,0,1,0,1,soldier,
180,1,1,0,0,1,0,-2,0,0,0,2,2,1,1,1,1,0,soldier,
181,0,1,1,0,1,1,0,0,0,1,2,0,0,0,1,1,0,doctor,
182,1,1,0,1,0,-2,-1,-1,1,1,0,2,-2,1,1,1,0,soldier,
183,-2,-1,0,0,1,-1,-2,0,1,1,0,2,2,0,1,0,1,doctor,
184,1,0,-2,1,1,2,0,0,0,0,-1,-2,-1,0,1,1,0,doctor,
185,0,2,-2,0,1,2,-2,1,0,1,1,2,-1,0,1,0,0,actor,
186,1,-2,2,0,1,1,2,1,0,1,-2,-2,-1,1,0,0,1,actor,
187,0,-1,-2,0,0,1,0,-1,1,0,-2,0,2,1,1,1,1,actor,
188,-2,2,2,1,1,0,1,2,0,1,2,-1,0,1,0,1,0,soldier,
189,-2,0,-1,1,0,-2,-1,1,1,0,-2,-1,2,0,1,1,1,doctor,
190,2,-2,-1,0,1,2,-1,-2,0,1,1,0,1,1,1,0,0,soldier,
191,1,-1,0,1,1,2,-2,-1,1,0,1,2,-2,1,1,1,0,actor,
192,0,-2,2,1,1,2,2,-1,1,0,0,-2,2,1,0,1,1,doctor,
193,1,0,2,0,1,2,-1,-1,1,1,2,1,2,0,0,1,0,soldier,
194,0,0,1,1,0,2,2,-2,1,0,2,2,-1,0,0,0,1,actor,
195,-2,1,-2,0,0,-1,-1,1,0,1,-2,-2,2,1,0,0,0,soldier,
196,-1,0,-2,1,0,0,2,2,1,1,-2,-2,-1,0,0,1,1,doctor,
197,1,2,0,1,0,2,-1,-2,1,1,0,-2,0,1,0,1,0,doctor,
198,-1,-2,-2,0,1,1,1,1,1,0,2,2,1,1,0,0,1,doctor,
199,-1,-1,-1,1,1,-2,2,2,1,1,1,0,-1,1,1,0,0,doctor,
200,1,-2,-2,1,0,1,-1,0,1,1,0,2,2,0,0,0,0,soldier,
201,2,-2,1,1,1,2,0,2,0,0,-1,1,-2,1,1,0,1,actor,
202,-1,-1,-2,0,0,1,1,1,0,1,0,1,-1,1,0,0,1,soldier,
203,0,2,2,1,0,0,1,0,1,1,0,-2,-2,0,1,0,1,soldier,
204,2,2,-2,1,0,2,-2,-2,1,1,-1,1,-1,0,1,1,1,doctor,
205,2,0,-1,0,1,1,2,0,0,0,2,2,2,1,1,0,1,doctor,
206,2,0,1,1,1,0,-2,1,1,1,1,-1,0,0,0,0,0,soldier,
207,0,1,2,0,0,2,-1,0,1,1,-2,0,0,1,0,1,1,soldier,
208,1,-1,1,1,1,-2,-1,-1,0,0,0,-1,-2,1,1,1,0,actor,
209,-1,-2,2,0,1,1,0,2,1,1,-2,2,0,1,1,0,0,soldier,
210,0,1,0,1,0,-1,0,-1,0,1,2,-1,-1,1,0,1,1,actor,
211,-1,-2,-1,0,1,2,2,-1,0,0,1,-2,-2,1,1,0,0,actor,
212,-1,-1,-1,0,1,-1,-2,-1,0,0,1,-1,1,1,0,0,0,soldier,
213,-2,-2,1,1,1,1,-2,-1,0,1,-1,2,-2,1,0,1,1,actor,
214,-2,-1,-1,1,0,2,-1,-2,0,0,2,0,1,1,1,0,0,actor,
215,-2,-1,0,1,0,1,-2,2,0,1,0,-2,-1,1,0,0,0,doctor,
216,2,-1,-1,1,1,2,-1,1,0,1,-1,1,2,1,0,0,0,actor,
217,0,-1,1,1,1,0,-2,2,1,0,0,1,-2,0,1,0,0,actor,
218,2,-2,0,1,1,-2,1,-1,1,1,1,1,-2,1,1,1,0,soldier,
219,1,2,1,0,1,-1,1,2,1,0,0,2,2,0,1,1,0,actor,
220,-2,-1,-1,0,1,-1,2,-2,0,1,2,2,0,0,0,1,1,actor,
221,1,-1,1,1,1,2,-2,-2,0,0,-2,1,0,0,0,0,0,soldier,
222,1,1,-1,0,0,-1,-2,-2,1,1,2,2,1,0,0,0,0,actor,
223,-2,-2,0,1,0,-2,1,0,1,0,2,-1,-2,0,1,0,0,soldier,
224,0,1,0,1,1,-1,-2,0,0,1,1,-2,-2,1,1,0,1,soldier,
225,2,0,1,0,0,-1,1,-1,0,0,-2,2,2,0,1,0,1,doctor,
226,2,1,2,1,1,1,-2,-1,0,1,-1,-1,-2,0,0,1,0,soldier,
227,0,0,0,1,1,-2,-2,0,0,0,0,1,1,0,1,0,0,actor,
228,2,-1,1,1,1,2,2,-1,0,0,2,0,2,1,1,1,1,actor,
229,2,1,2,0,0,0,1,0,0,1,1,0,1,1,0,1,1,doctor,
230,1,-2,2,1,1,-2,2,2,0,0,-2,-1,0,1,1,0,1,soldier,
231,0,0,0,1,1,0,-1,2,1,1,2,-1,2,1,1,0,0,actor,
232,0,0,0,0,0,-2,-1,-2,0,1,2,2,0,1,1,1,1,soldier,
233,-2,1,-2,0,0,1,-2,-2,1,0,2,-2,-2,0,1,0,1,actor,
234,0,-2,0,1,0,1,0,2,1,1,-1,-1,2,1,1,0,0,actor,
235,-1,0,2,1,1,-1,-1,1,0,1,1,0,2,1,0,0,1,soldier,
236,-2,0,1,0,0,-1,2,1,1,1,-1,1,-2,0,0,0,1,doctor,
237,-2,2,2,0,1,-1,2,-1,1,1,2,-1,0,1,0,1,0,doctor,
238,-1,0,2,0,0,1,-1,2,0,1,1,-2,0,0,1,1,1,actor,
239,-2,-2,-1,0,1,-1,1,2,1,1,-2,0,1,1,0,0,0,soldier,
240,2,0,1,1,1,0,-1,1,0,1,-1,-2,-2,1,0,0,1,soldier,
241,2,-2,2,0,0,2,2,-1,1,0,2,-1,0,1,1,1,0,doctor,
242,-1,-2,-2,0,1,-2,0,2,0,0,2,1,0,1,1,0,0,doctor,
243,2,-1,2,1,0,-2,-2,2,0,0,0,0,0,0,1,1,1,doctor,
244,0,-2,2,1,1,-1,1,-2,0,0,-1,1,1,1,0,1,1,soldier,
245,0,1,2,0,0,0,-2,2,1,0,1,-2,-1,1,0,1,1,doctor,
246,1,0,1,0,0,1,-2,-1,1,0,2,-2,0,0,1,1,1,actor,
247,1,-1,1,0,1,2,1,-1,1,1,2,-2,-1,0,1,0,0,soldier,
248,-2,-1,0,1,1,1,-1,1,1,0,-1,-2,-1,0,1,0,1,actor,
249,1,0,0,0,0,-2,2,0,1,1,-1,1,1,0,0,1,1,actor,
250,-1,-2,0,0,0,0,0,0,1,0,1,0,-2,0,0,1,1,soldier,
251,0,-2,-2,1,1,-1,2,-1,1,0,-2,2,-1,1,1,1,1,soldier,
252,1,1,0,0,0,2,-2,0,1,0,0,-2,-2,0,0,0,1,soldier,
253,0,-2,-1,1,1,2,1,-1,0,1,1,-2,0,1,0,1,1,doctor,
254,0,0,2,0,0,-2,2,1,0,1,-1,-2,1,1,0,0,0,soldier,
255,1,1,0,0,1,-1,1,-1,0,1,2,2,1,1,1,1,0,soldier,
256,2,1,2,1,1,1,2,2,1,1,1,0,-1,0,1,0,0,doctor,
257,-1,-1,-2,0,0,-1,2,0,0,1,0,2,0,0,1,1,1,actor,
258,-1,0,-1,1,0,2,-1,0,0,1,0,-2,2,0,0,0,0,actor,
259,1,-2,-2,0,0,2,-1,-2,1,1,0,-1,-2,1,1,1,0,soldier,
260,-2,-2,1,0,1,1,-2,-2,0,0,-2,1,-1,0,1,1,0,actor,
261,1,-1,-1,1,1,2,-2,-2,1,0,-1,-2,1,1,0,1,0,doctor,
262,-2,-2,0,0,0,1,1,0,0,0,1,-2,-1,0,1,0,1,soldier,
263,-2,2,2,1,0,1,2,0,1,0,2,0,2,1,1,1,1,doctor,
264,-1,0,-1,0,0,-2,-1,1,1,1,-2,1,2,0,1,0,0,actor,
265,-1,-2,-1,1,1,2,2,1,1,1,2,1,2,0,1,1,1,soldier,
266,-2,-2,-1,0,1,0,-2,0,1,0,2,0,-1,0,0,1,0,actor,
267,2,-1,0,0,0,-2,-1,-2,1,0,-1,-1,2,0,0,1,0,soldier,
268,2,0,0,0,0,0,-1,-2,0,1,-2,2,2,1,0,0,0,actor,
269,0,1,1,0,0,2,-2,-2,1,0,2,-1,-2,1,1,0,0,soldier,
270,1,0,0,1,1,-1,2,-2,1,0,0,1,0,1,0,1,1,actor,
271,-1,0,-2,0,0,0,1,-1,0,1,1,0,1,0,1,1,0,actor,
272,-2,-2,-1,1,0,0,0,0,0,0,-1,2,0,0,1,1,1,actor,
273,0,0,2,1,0,2,1,-1,0,0,-2,1,-2,0,0,0,1,actor,
274,0,-2,-1,1,1,-2,0,0,0,0,1,0,-1,0,0,1,1,actor,
275,0,1,-1,1,0,2,1,0,0,1,2,-2,2,1,0,1,0,soldier,
276,-1,-1,-1,0,1,0,-1,-1,0,0,1,1,-1,1,1,1,0,doctor,
277,-2,1,2,0,0,-2,2,-1,0,1,-1,-1,1,0,0,1,0,actor,
278,2,0,1,1,0,0,0,-1,0,0,-2,0,1,1,0,1,1,soldier,
279,0,2,-1,1,1,0,-2,2,1,0,0,1,-2,1,0,1,1,actor,
280,2,1,-1,0,1,1,-1,-1,0,0,-1,-1,-2,0,0,1,0,doctor,
281,2,-1,2,0,1,-2,1,0,1,1,-1,0,2,0,1,0,1,doctor,
282,2,-1,-1,1,1,0,-2,0,1,1,0,0,1,0,1,1,0,doctor,
283,1,2,-1,1,0,1,1,0,1,1,-2,-1,0,0,0,0,0,actor,
284,1,2,0,0,1,0,1,-1,1,1,0,-2,-2,1,1,1,0,doctor,
285,1,0,-1,1,1,2,1,-2,1,1,2,0,1,0,0,1,0,soldier,
286,1,2,-1,0,1,1,-1,0,0,0,1,1,-2,0,0,1,0,soldier,
287,-2,1,1,0,1,0,1,1,0,1,-1,2,0,1,1,0,1,doctor,
288,-2,-1,-1,0,0,-2,1,1,1,1,2,2,2,0,1,1,0,actor,
289,2,2,-2,1,0,0,-2,-1,1,0,-2,0,2,0,0,1,0,soldier,
290,-1,0,0,0,1,-1,-2,-2,0,0,-1,2,0,1,0,0,1,soldier,
291,2,0,-1,0,1,-1,1,-2,1,1,1,-1,-1,1,0,0,1,actor,
292,0,0,0,1,0,1,1,-2,1,1,2,1,2,1,1,0,0,doctor,
293,-1,1,0,1,1,-2,0,-2,1,1,0,-1,2,1,1,1,0,soldier,
294,2,1,2,1,1,2,2,0,1,1,-2,1,-1,1,0,0,1,actor,
295,0,-1,2,1,1,-2,2,-2,1,0,-1,1,-2,1,1,1,0,actor,
296,0,-1,-2,0,0,-1,1,2,1,1,0,-1,-1,0,1,1,1,actor,
297,0,1,0,0,0,1,1,1,0,0,1,1,-1,1,1,0,0,actor,
298,-2,-2,0,1,1,0,-1,-1,0,1,1,-1,0,0,1,1,1,actor,
299,-2,-2,-2,1,0,1,0,0,1,1,-1,-1,2,1,1,1,1,doctor,
300,0,-1,-2,0,0,1,-1,1,1,1,0,1,-1,1,1,0,1,actor,
301,0,-2,0,0,1,-2,-1,-1,1,0,-2,2,2,1,0,0,0,doctor,
302,0,2,2,0,0,-1,1,-1,0,0,-1,0,2,0,1,0,0,doctor,
303,1,2,-1,1,0,2,2,-2,1,1,2,1,1,1,0,0,0,doctor,
304,1,-2,0,1,0,0,2,1,1,1,1,2,0,1,1,1,0,actor,
305,-2,0,0,0,0,2,-1,2,1,1,1,0,1,0,1,0,1,soldier,
306,-1,-1,0,0,1,2,2,-1,1,1,0,-2,0,0,0,1,0,actor,
307,1,-1,0,0,1,-2,2,-1,1,1,2,-2,0,1,0,0,0,doctor,
308,-2,0,-1,0,1,1,2,-2,1,0,0,-1,-1,1,1,0,0,doctor,
