,index,doctor_altruism,doctor_likes_soldier,doctor_likes_actor,doctor_has_food,doctor_has_meds,soldier_altruism,soldier_likes_doctor,soldier_likes_actor,soldier_has_food,soldier_has_meds,actor_altruism,actor_likes_doctor,actor_likes_soldier,actor_has_food,actor_has_meds,food_quantity,meds_quantity,active,results,wants_meds,wants_food,attacks_doctor,attacks_soldier,attacks_actor
18,270,-2,-2,-2,0,0,0,2,0,0,0,1,1,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
19,285,-2,-2,-2,0,0,0,2,0,0,0,1,1,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
20,300,-2,-2,-2,0,0,0,2,0,0,0,1,1,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
21,315,-2,-2,-2,0,0,0,2,0,0,0,1,1,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
22,330,-2,-2,-2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
23,345,-2,-2,-2,0,0,0,2,0,0,0,1,1,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
24,360,-2,-2,-2,0,0,0,2,0,0,0,1,1,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
25,375,-2,-2,-2,0,0,0,2,0,0,0,1,1,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
26,390,-2,-2,-2,0,0,0,2,0,0,0,1,1,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
27,405,-2,-2,-2,0,0,0,2,0,0,0,1,1,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
28,420,-2,-2,-2,0,0,0,2,0,0,0,1,1,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
29,435,-2,-2,-2,0,0,0,2,0,0,0,1,2,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
30,450,-2,-2,-2,0,0,0,2,0,0,0,1,2,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
31,465,-2,-2,-2,0,0,0,2,0,0,0,1,2,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
32,480,-2,-2,-2,0,0,0,2,0,0,0,1,2,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
33,495,-2,-2,-2,0,0,0,2,0,0,0,1,2,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
34,510,-2,-2,-2,0,0,0,2,0,0,0,1,2,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
35,525,-2,-2,-2,0,0,0,2,0,0,0,1,2,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
36,540,-2,-2,-2,0,0,0,2,0,0,0,1,2,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
37,555,-2,-2,-2,0,0,0,2,0,0,0,1,2,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
38,570,-2,-2,-2,0,0,0,2,0,0,0,1,2,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
39,585,-2,-2,-2,0,0,0,2,0,0,0,1,2,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
40,600,-2,-2,-2,0,0,0,2,0,0,0,1,2,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
41,615,-2,-2,-2,0,0,0,2,0,0,0,1,2,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
42,630,-2,-2,-2,0,0,0,2,0,0,0,1,2,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
43,645,-2,-2,-2,0,0,0,2,0,0,0,1,2,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
44,660,-2,-2,-2,0,0,0,2,0,0,0,1,2,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
45,675,-2,-2,-2,0,0,0,2,0,0,0,2,-2,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
46,690,-2,-2,-2,0,0,0,2,0,0,0,2,-2,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
47,705,-2,-2,-2,0,0,0,2,0,0,0,2,-2,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
48,720,-2,-2,-2,0,0,0,2,0,0,0,2,-2,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
49,735,-2,-2,-2,0,0,0,2,0,0,0,2,-2,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
50,750,-2,-2,-2,0,0,0,2,0,0,0,2,-2,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
51,765,-2,-2,-2,0,0,0,2,0,0,0,2,-2,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
52,780,-2,-2,-2,0,0,0,2,0,0,0,2,-2,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
53,795,-2,-2,-2,0,0,0,2,0,0,0,2,-2,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
54,810,-2,-2,-2,0,0,0,2,0,0,0,2,-2,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
55,825,-2,-2,-2,0,0,0,2,0,0,0,2,-2,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
56,840,-2,-2,-2,0,0,0,2,0,0,0,2,-2,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
57,855,-2,-2,-2,0,0,0,2,0,0,0,2,-2,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
58,870,-2,-2,-2,0,0,0,2,0,0,0,2,-2,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
59,885,-2,-2,-2,0,0,0,2,0,0,0,2,-2,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
60,900,-2,-2,-2,0,0,0,2,0,0,0,2,-2,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
61,915,-2,-2,-2,0,0,0,2,0,0,0,2,-1,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
62,930,-2,-2,-2,0,0,0,2,0,0,0,2,-1,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
63,945,-2,-2,-2,0,0,0,2,0,0,0,2,-1,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
64,960,-2,-2,-2,0,0,0,2,0,0,0,2,-1,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
65,975,-2,-2,-2,0,0,0,2,0,0,0,2,-1,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
66,990,-2,-2,-2,0,0,0,2,0,0,0,2,-1,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
67,1005,-2,-2,-2,0,0,0,2,0,0,0,2,-1,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
68,1020,-2,-2,-2,0,0,0,2,0,0,0,2,-1,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
69,1035,-2,-2,-2,0,0,0,2,0,0,0,2,-1,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
70,1050,-2,-2,-2,0,0,0,2,0,0,0,2,-1,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
71,1065,-2,-2,-2,0,0,0,2,0,0,0,2,-1,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
72,1080,-2,-2,-2,0,0,0,2,0,0,0,2,-1,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
73,1095,-2,-2,-2,0,0,0,2,0,0,0,2,-1,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
74,1110,-2,-2,-2,0,0,0,2,0,0,0,2,-1,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
75,1125,-2,-2,-2,0,0,0,2,0,0,0,2,-1,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
76,1140,-2,-2,-2,0,0,0,2,0,0,0,2,-1,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
77,1155,-2,-2,-2,0,0,0,2,0,0,0,2,0,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
78,1170,-2,-2,-2,0,0,0,2,0,0,0,2,0,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
79,1185,-2,-2,-2,0,0,0,2,0,0,0,2,0,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
80,1200,-2,-2,-2,0,0,0,2,0,0,0,2,0,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
81,1215,-2,-2,-2,0,0,0,2,0,0,0,2,0,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
82,1230,-2,-2,-2,0,0,0,2,0,0,0,2,0,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
83,1245,-2,-2,-2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
84,1260,-2,-2,-2,0,0,0,2,0,0,0,2,0,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
85,1275,-2,-2,-2,0,0,0,2,0,0,0,2,0,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
86,1290,-2,-2,-2,0,0,0,2,0,0,0,2,0,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
87,1305,-2,-2,-2,0,0,0,2,0,0,0,2,0,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
88,1320,-2,-2,-2,0,0,0,2,0,0,0,2,0,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
89,1335,-2,-2,-2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
90,1350,-2,-2,-2,0,0,0,2,0,0,0,2,0,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
91,1365,-2,-2,-2,0,0,0,2,0,0,0,2,0,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
92,1380,-2,-2,-2,0,0,0,2,0,0,0,2,0,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
93,1395,-2,-2,-2,0,0,0,2,0,0,0,2,1,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
94,1410,-2,-2,-2,0,0,0,2,0,0,0,2,1,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
95,1425,-2,-2,-2,0,0,0,2,0,0,0,2,1,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
96,1440,-2,-2,-2,0,0,0,2,0,0,0,2,1,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
97,1455,-2,-2,-2,0,0,0,2,0,0,0,2,1,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
98,1470,-2,-2,-2,0,0,0,2,0,0,0,2,1,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
99,1485,-2,-2,-2,0,0,0,2,0,0,0,2,1,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
100,1500,-2,-2,-2,0,0,0,2,0,0,0,2,1,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
101,1515,-2,-2,-2,0,0,0,2,0,0,0,2,1,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
102,1530,-2,-2,-2,0,0,0,2,0,0,0,2,1,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
103,1545,-2,-2,-2,0,0,0,2,0,0,0,2,1,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
104,1560,-2,-2,-2,0,0,0,2,0,0,0,2,1,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
105,1575,-2,-2,-2,0,0,0,2,0,0,0,2,1,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
106,1590,-2,-2,-2,0,0,0,2,0,0,0,2,1,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
107,1605,-2,-2,-2,0,0,0,2,0,0,0,2,1,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
108,1620,-2,-2,-2,0,0,0,2,0,0,0,2,1,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
109,1635,-2,-2,-2,0,0,0,2,0,0,0,2,2,-2,0,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
110,1650,-2,-2,-2,0,0,0,2,0,0,0,2,2,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
111,1665,-2,-2,-2,0,0,0,2,0,0,0,2,2,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
112,1680,-2,-2,-2,0,0,0,2,0,0,0,2,2,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
113,1695,-2,-2,-2,0,0,0,2,0,0,0,2,2,-1,1,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
114,1710,-2,-2,-2,0,0,0,2,0,0,0,2,2,-1,1,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
115,1725,-2,-2,-2,0,0,0,2,0,0,0,2,2,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
116,1740,-2,-2,-2,0,0,0,2,0,0,0,2,2,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
117,1755,-2,-2,-2,0,0,0,2,0,0,0,2,2,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
118,1770,-2,-2,-2,0,0,0,2,0,0,0,2,2,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
119,1785,-2,-2,-2,0,0,0,2,0,0,0,2,2,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
120,1800,-2,-2,-2,0,0,0,2,0,0,0,2,2,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
121,1815,-2,-2,-2,0,0,0,2,0,0,0,2,2,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
122,1830,-2,-2,-2,0,0,0,2,0,0,0,2,2,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
123,1845,-2,-2,-2,0,0,0,2,0,0,0,2,2,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
124,1860,-2,-2,-2,0,0,0,2,0,0,0,2,2,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
125,1875,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,-2,0,1,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
126,1890,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,-2,1,0,0,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
127,1905,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,-2,1,1,1,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
128,1920,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
129,1935,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,-1,1,0,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
130,1950,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,-1,1,1,0,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
131,1965,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
132,1980,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
133,1995,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
134,2010,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
135,2025,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
136,2040,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
137,2055,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
138,2070,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
139,2085,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
140,2100,-2,-2,-2,0,0,0,2,0,0,1,-2,-2,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
141,2115,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,-2,0,1,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
142,2130,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,-2,1,0,0,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
143,2145,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,-2,1,1,1,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
144,2160,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
145,2175,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,-1,1,0,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
146,2190,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,-1,1,1,0,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
147,2205,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
148,2220,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
149,2235,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
150,2250,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
151,2265,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
152,2280,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,1,1,0,1,1,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
153,2295,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,2,0,0,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
154,2310,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,2,0,1,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
155,2325,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,2,1,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
156,2340,-2,-2,-2,0,0,0,2,0,0,1,-2,-1,2,1,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
157,2355,-2,-2,-2,0,0,0,2,0,0,1,-2,0,-2,0,1,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
158,2370,-2,-2,-2,0,0,0,2,0,0,1,-2,0,-2,1,0,0,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
159,2385,-2,-2,-2,0,0,0,2,0,0,1,-2,0,-2,1,1,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
160,2400,-2,-2,-2,0,0,0,2,0,0,1,-2,0,-1,0,0,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
161,2415,-2,-2,-2,0,0,0,2,0,0,1,-2,0,-1,1,0,0,0,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
162,2430,-2,-2,-2,0,0,0,2,0,0,1,-2,0,-1,1,1,0,1,doctor,"prepare_meeting(doctor, actor) prepare_trap(soldier, actor, doctor) attack(doctor, actor)
",0.0,0.0,0,0.0,1.0
163,2445,-2,-2,-2,0,0,0,2,0,0,1,-2,0,0,0,0,1,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
164,2460,-2,-2,-2,0,0,0,2,0,0,1,-2,0,0,0,1,1,1,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
165,2475,-2,-2,-2,0,0,0,2,0,0,1,-2,0,0,1,1,0,0,doctor,"Time limit reached.
",0.0,0.0,0,0.0,0.0
166,2490,-2,-2,-2,0,0,0,2,0,0,1,-2,0,1,0,0,0,1,doctor,"find(doctor, meds) get_item(doctor, actor, meds)
",1.0,0.0,0,0.0,0.0
167,2505,-2,-2,-2,0,0,0,2,0,0,1,-2,0,1,0,1,1,0,doctor,"find(doctor, food) get_item(doctor, actor, food)
",0.0,1.0,0,0.0,0.0
