,char_acting_health,char_acting_knowledge,char_acting_altruism,char_acting_ambition,char_acting_support,char_acting_money,char_acting_satisfaction,char_acting_state,char_acting_relation_char1,char_acting_supports_char1,char_acting_relation_char2,char_acting_supports_char2,char1_health,char1_knowledge,char1_altruism,char1_ambition,char1_support,char1_money,char1_satisfaction,char1_state,char1_relation_char_acting,char1_supports_char_acting,char1_relation_char2,char1_supports_char2,char2_health,char2_knowledge,char2_altruism,char2_ambition,char2_support,char2_money,char2_satisfaction,char2_state,char2_relation_char_acting,char2_supports_char_acting,char2_relation_char1,char2_supports_char1,ship_defense,ship_status,ship_magic,results,time
29,0,1,-1,4,0,1,0,blocked,-1,0,-2,0,1,0,2,0,0,0,0,blocked,-1,1,-1,1,1,0,-1,3,0,1,0,blocked,0,1,-2,1,1,-1,-1,"No solution exists.
",1.0179855823516846
30,1,1,-1,0,1,0,0,hidden,-2,1,1,1,1,2,2,2,0,0,0,?,1,0,0,0,1,1,0,1,0,1,0,hidden,0,0,1,1,0,1,0,"change_ship_magic_up(char_acting) key_action3(char_acting)
",1.192432165145874
31,2,0,-1,0,0,0,0,hidden,-1,1,1,1,2,2,2,4,1,1,0,blocked,1,1,0,0,1,0,1,3,1,1,0,?,0,1,-1,0,-1,-1,0,"change_ship_magic_up(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.9976131916046143
32,1,0,2,4,0,1,0,blocked,1,0,0,0,2,2,2,2,0,0,0,?,-1,1,-1,1,1,0,-1,0,0,0,0,?,2,0,-1,1,-1,0,1,"unblock_yourself(char_acting) hide(char_acting) change_knowledge_up(char_acting) change_knowledge_up(char_acting) key_action2(char_acting)
",3.368927478790283
33,1,0,0,3,0,0,0,hidden,2,0,-1,0,1,2,-2,2,0,0,0,hidden,1,0,0,1,1,0,-2,2,0,1,0,blocked,-1,0,1,0,0,0,1,"Time limit reached.
",5.806178569793701
34,1,0,0,2,0,1,0,hidden,2,1,-2,0,1,2,-1,2,0,0,0,blocked,-1,0,0,0,2,2,-1,1,0,1,0,blocked,2,1,-1,1,1,-1,1,"change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",2.212397336959839
35,0,0,2,1,1,1,0,hidden,-2,0,1,0,0,2,0,0,0,1,0,?,-1,0,2,0,0,2,1,0,0,0,0,?,2,1,-2,0,1,1,0,"No solution exists.
",0.8787732124328613
36,0,2,1,1,0,1,0,hidden,2,1,-1,0,1,2,0,1,0,1,0,blocked,1,1,1,1,1,0,-1,0,1,0,0,?,0,1,0,0,-1,-1,0,"No solution exists.
",0.9851953983306885
37,0,2,2,2,0,0,0,blocked,-1,1,-1,1,2,0,0,3,0,1,0,blocked,2,1,0,0,0,0,0,1,1,1,0,blocked,-1,0,1,1,1,1,1,"No solution exists.
",0.8444650173187256
38,1,1,-1,1,1,1,0,blocked,-1,1,1,1,2,1,-2,0,0,0,0,blocked,0,0,-2,0,0,1,-1,0,1,0,0,?,-2,0,-2,0,1,0,-1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.6759421825408936
39,2,2,0,1,0,1,0,blocked,-1,0,-1,1,0,1,0,1,0,1,0,?,-2,1,-1,0,1,1,-1,4,0,1,0,hidden,0,1,2,1,-1,0,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.4440946578979492
40,1,2,1,3,1,0,0,?,2,0,-2,0,2,2,1,0,1,1,0,blocked,-2,1,-2,1,1,1,-1,4,1,0,0,hidden,-1,0,0,1,1,0,1,"change_health_up(char_acting, char_acting) change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",1.0489661693572998
41,0,0,2,2,1,0,0,?,2,1,1,1,0,0,0,2,0,0,0,hidden,-2,1,-1,0,1,2,-2,0,1,1,0,hidden,-2,1,2,0,-1,0,1,"No solution exists.
",0.8608636856079102
42,2,1,0,3,1,0,0,hidden,-1,1,-2,1,1,0,0,2,1,1,0,blocked,-2,0,1,1,1,0,-2,1,1,1,0,hidden,-1,0,0,1,0,0,1,"change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",1.015472650527954
43,1,2,1,2,1,1,0,hidden,1,1,1,1,2,0,-1,0,0,1,0,blocked,-2,0,1,1,1,2,0,2,0,0,0,hidden,1,0,-2,1,0,1,-1,"change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.4660589694976807
44,2,0,1,2,1,1,0,blocked,1,1,0,1,1,0,-1,0,0,0,0,?,1,0,2,0,0,2,1,3,1,1,0,blocked,1,1,1,0,0,1,0,"unblock_yourself(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.1368885040283203
45,2,0,-2,1,0,1,0,blocked,-1,1,-1,1,2,1,0,2,1,0,0,hidden,0,1,1,0,0,0,0,4,1,1,0,?,1,0,2,0,-1,-1,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.4608428478240967
46,0,2,0,3,0,1,0,?,1,1,1,0,2,2,1,0,0,1,0,blocked,0,1,2,0,0,0,-1,1,1,0,0,hidden,-1,1,-1,1,1,1,1,"No solution exists.
",1.0624821186065674
47,2,1,0,1,1,1,0,blocked,-2,1,-2,0,2,2,-1,2,1,1,0,?,1,1,1,0,1,0,0,1,0,0,0,blocked,0,0,2,0,-1,-1,-1,"unblock_yourself(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.7226519584655762
48,1,0,2,4,1,0,0,?,1,1,-1,0,2,2,-1,1,1,0,0,blocked,2,0,2,0,1,1,-1,2,0,1,0,?,-2,1,1,1,0,1,-1,"Time limit reached.
",6.070775508880615
49,0,2,2,4,1,0,0,blocked,2,0,1,1,2,0,-1,3,1,1,0,blocked,-1,1,0,1,0,2,2,3,1,1,0,hidden,-2,0,1,1,-1,1,-1,"No solution exists.
",0.9502830505371094
50,1,1,-2,2,1,1,0,hidden,1,0,2,0,0,2,-1,4,1,1,0,?,1,0,0,0,0,2,0,2,1,1,0,hidden,2,1,-2,1,1,1,1,"key_action3(char_acting)
",1.481234073638916
51,1,0,-1,3,0,0,0,?,0,0,2,0,1,1,1,0,1,0,0,hidden,-2,1,2,1,1,2,0,2,1,1,0,blocked,2,0,-2,1,-1,1,0,"hide(char_acting) change_knowledge_up(char_acting) change_knowledge_up(char_acting) key_action2(char_acting)
",3.562446355819702
52,1,2,0,2,1,0,0,hidden,-2,1,2,1,1,1,2,1,0,1,0,hidden,2,1,1,0,2,1,2,0,1,1,0,blocked,-1,0,1,1,1,1,1,"key_action3(char_acting)
",1.024914264678955
53,1,1,1,1,0,0,0,blocked,0,1,1,0,2,1,-1,3,0,1,0,blocked,-1,1,-1,0,0,2,1,2,0,1,0,hidden,-1,1,-1,1,-1,-1,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.5505197048187256
54,2,0,1,3,0,0,0,?,0,0,0,1,2,1,2,2,1,1,0,blocked,-1,0,1,0,1,2,-1,0,0,1,0,blocked,-2,0,-1,1,0,-1,0,"hide(char_acting) change_health_up(char_acting, char_acting) change_knowledge_up(char_acting) key_action2(char_acting)
",3.5039706230163574
55,2,1,-2,1,0,1,0,blocked,-2,0,1,1,0,1,2,4,1,0,0,?,-2,1,1,0,2,2,-1,4,0,0,0,?,2,1,0,1,0,0,0,"unblock_yourself(char_acting) change_ship_magic_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",0.9585273265838623
56,0,0,1,4,1,1,0,?,1,0,0,0,2,2,2,4,1,1,0,hidden,2,1,0,0,1,1,2,0,1,0,0,hidden,-1,1,-1,0,0,0,-1,"No solution exists.
",0.9172065258026123
57,2,0,1,0,0,1,0,hidden,-2,0,2,0,2,1,0,0,0,1,0,?,-1,1,0,0,1,1,1,3,0,1,0,blocked,-2,0,-2,0,0,-1,0,"change_ship_magic_up(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.358935832977295
58,1,2,1,0,1,0,0,?,1,0,2,0,0,0,-2,2,0,0,0,?,0,0,-1,0,1,0,2,3,0,1,0,blocked,-2,1,-2,1,1,-1,0,"change_ship_magic_up(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.2185721397399902
59,2,1,0,3,0,0,0,blocked,0,0,1,0,2,2,2,4,1,0,0,hidden,-2,0,-1,1,1,2,2,1,0,1,0,hidden,-2,0,-2,1,0,-1,0,"unblock_yourself(char_acting) change_health_up(char_acting, char_acting) key_action2(char_acting)
",1.1720938682556152
60,1,2,0,1,0,0,0,?,1,1,1,0,0,1,1,2,1,1,0,blocked,1,0,1,1,0,0,0,4,1,1,0,?,-1,0,-2,0,0,-1,1,"change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.3434393405914307
61,0,0,-1,3,1,1,0,blocked,1,1,2,0,0,0,0,3,1,0,0,blocked,-2,1,2,0,0,2,1,3,0,0,0,?,0,0,1,1,0,-1,0,"No solution exists.
",0.9582562446594238
62,0,0,-2,1,1,1,0,blocked,-1,0,0,1,0,0,-2,3,1,0,0,hidden,-1,1,-2,0,1,1,2,3,0,0,0,hidden,-1,0,0,0,0,1,-1,"No solution exists.
",1.258373737335205
63,0,2,0,2,1,1,0,hidden,0,1,2,1,0,2,1,0,1,0,0,blocked,0,1,-2,1,1,2,1,3,0,1,0,hidden,-2,1,-1,1,1,1,0,"No solution exists.
",1.1796326637268066
64,1,2,0,0,0,1,0,blocked,0,1,0,0,0,2,0,4,1,1,0,hidden,-2,0,2,1,2,1,-1,3,1,1,0,?,2,0,0,0,0,0,-1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.7133219242095947
65,1,2,2,3,1,1,0,hidden,1,0,-2,1,0,1,-2,0,1,1,0,?,-2,1,0,0,1,2,0,3,1,0,0,blocked,0,0,2,0,0,0,0,"Time limit reached.
",5.9097864627838135
66,1,1,1,0,0,1,0,blocked,2,1,2,1,2,1,-2,2,1,0,0,hidden,0,1,0,1,2,0,-1,0,1,1,0,blocked,2,0,-1,1,0,0,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",0.9896037578582764
67,2,0,0,0,0,1,0,?,1,1,0,0,0,1,1,3,0,0,0,blocked,0,1,-2,0,2,0,0,0,1,1,0,hidden,1,1,2,0,0,1,1,"key_action3(char_acting)
",1.1001794338226318
68,1,2,-2,0,0,1,0,?,-1,0,1,0,1,2,2,2,0,0,0,hidden,-1,0,2,0,0,2,-1,0,1,1,0,?,-1,0,1,1,1,0,-1,"change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.6264476776123047
69,1,0,2,2,1,0,0,blocked,-2,0,0,1,2,1,-1,4,1,1,0,hidden,1,1,-2,1,1,1,0,3,0,0,0,hidden,-2,0,0,0,-1,-1,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.4368393421173096
70,1,0,-2,2,0,1,0,blocked,-2,0,-1,1,1,2,1,0,0,1,0,hidden,1,1,0,0,2,0,-1,3,1,0,0,hidden,0,1,-1,0,-1,0,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.245549201965332
71,1,0,1,0,1,0,0,hidden,0,1,0,1,1,2,1,2,0,1,0,hidden,0,0,0,0,0,1,0,1,0,1,0,?,-2,1,-1,0,-1,0,1,"change_ship_status_up(char_acting) key_action3(char_acting)
",1.176767349243164
72,0,1,1,0,0,0,0,hidden,-2,1,1,0,1,0,-1,3,0,0,0,?,0,0,1,1,0,1,-2,0,0,0,0,blocked,-2,1,1,1,1,-1,0,"No solution exists.
",0.957770586013794
73,1,0,1,2,0,1,0,?,1,0,-2,0,2,0,2,4,0,0,0,blocked,1,0,-2,1,2,0,2,0,0,0,0,?,-1,0,-1,1,1,1,1,"key_action3(char_acting)
",1.1356489658355713
74,2,1,1,2,1,1,0,?,1,1,1,1,0,0,0,4,0,0,0,blocked,0,1,-1,0,2,1,-1,2,1,0,0,?,0,1,-2,1,0,1,-1,"change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.4374043941497803
75,1,0,2,2,0,1,0,?,-1,0,-1,1,1,0,-1,1,0,1,0,?,-2,0,2,0,2,1,0,4,0,0,0,?,1,0,-1,1,0,0,-1,"change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.3936207294464111
76,2,0,1,4,1,0,0,blocked,1,1,1,0,0,2,-1,0,0,1,0,hidden,-2,0,-2,0,1,2,-1,0,1,0,0,hidden,0,1,-1,1,0,0,0,"unblock_yourself(char_acting) change_health_up(char_acting, char_acting) key_action2(char_acting)
",0.9283738136291504
77,2,2,-2,0,0,0,0,?,0,0,0,1,0,1,-2,0,0,1,0,?,-2,1,2,1,1,1,1,0,0,0,0,hidden,0,0,-1,1,-1,0,1,"change_ship_status_up(char_acting) key_action3(char_acting)
",0.9640648365020752
78,0,1,2,0,1,0,0,hidden,-1,0,-1,1,0,2,2,0,1,0,0,hidden,-1,0,0,0,2,2,-2,0,1,1,0,blocked,-1,1,1,1,1,1,1,"No solution exists.
",0.8167855739593506
79,2,1,1,4,1,1,0,blocked,-2,0,1,1,0,1,-1,0,1,1,0,blocked,1,1,-2,1,2,2,1,3,0,0,0,?,1,0,2,0,0,0,0,"Time limit reached.
",5.881577968597412
80,1,2,2,2,0,0,0,blocked,-1,1,0,0,0,2,1,1,0,0,0,?,-2,0,0,0,1,2,1,0,1,1,0,blocked,-1,0,1,0,-1,0,1,"unblock_yourself(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",0.9615261554718018
81,0,2,2,3,1,0,0,blocked,0,0,1,1,0,0,-1,1,1,1,0,?,-2,0,0,0,0,2,-1,2,1,1,0,?,2,1,-1,1,1,-1,0,"No solution exists.
",0.8117198944091797
82,1,2,-1,0,1,1,0,?,0,0,0,0,2,1,-2,0,1,1,0,?,0,1,1,1,2,2,-2,0,0,1,0,?,2,1,1,1,-1,1,1,"key_action3(char_acting)
",1.0616533756256104
83,2,0,2,3,1,0,0,hidden,0,1,1,1,1,1,1,4,1,1,0,blocked,-2,0,0,1,2,2,-2,3,0,1,0,blocked,1,1,0,0,0,-1,-1,"change_knowledge_up(char_acting) change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",0.9416625499725342
84,0,2,-2,1,1,1,0,hidden,1,0,-1,1,0,1,2,4,0,0,0,blocked,-1,0,0,1,1,1,1,1,0,1,0,blocked,-2,0,0,0,0,1,-1,"No solution exists.
",0.8420984745025635
85,1,2,1,4,0,1,0,hidden,2,0,1,1,2,2,2,2,0,1,0,blocked,2,1,1,0,0,2,0,3,1,1,0,?,2,1,-1,0,0,0,1,"key_action2(char_acting)
",1.0218114852905273
86,0,1,2,0,0,0,0,hidden,1,0,-1,0,0,2,0,3,0,1,0,?,-2,1,-2,0,1,0,-2,0,1,0,0,hidden,2,0,-1,1,1,-1,-1,"No solution exists.
",1.051880121231079
87,2,2,1,3,1,1,0,hidden,1,0,-1,0,2,1,-1,3,1,1,0,?,1,1,1,0,0,0,2,0,0,0,0,?,2,1,0,0,-1,-1,-1,"change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",1.3807563781738281
88,0,1,1,4,0,0,0,hidden,0,0,-1,1,0,0,-1,0,0,0,0,blocked,-2,1,-1,0,1,1,-2,1,1,0,0,?,-1,1,-1,1,1,-1,1,"No solution exists.
",0.8227245807647705
89,0,0,-2,3,0,0,0,hidden,-1,0,-2,1,2,0,-1,4,1,1,0,?,2,0,0,0,1,2,2,1,1,1,0,hidden,-2,1,-1,0,1,1,1,"No solution exists.
",1.0356907844543457
90,0,2,2,4,1,0,0,blocked,0,1,-1,0,0,0,-2,1,0,1,0,hidden,-2,1,1,0,2,2,-1,3,0,0,0,hidden,1,0,0,0,-1,-1,-1,"No solution exists.
",1.0941791534423828
91,2,0,-2,3,1,0,0,blocked,-1,0,2,0,1,1,2,1,0,0,0,?,1,1,-2,1,1,1,1,3,1,0,0,blocked,-1,0,2,1,-1,0,0,"Time limit reached.
",6.45287013053894
92,0,2,0,1,1,0,0,?,-2,1,0,1,0,0,1,2,0,0,0,hidden,0,1,1,1,1,2,2,0,0,0,0,?,0,1,0,1,-1,-1,0,"No solution exists.
",0.6960172653198242
93,1,2,-2,1,0,1,0,?,0,0,-2,0,2,2,2,4,1,0,0,blocked,1,1,-1,1,0,2,0,4,1,1,0,blocked,0,0,1,1,0,0,-1,"change_ship_status_up(char_acting) change_ship_magic_up(char_acting) change_ship_magic_up(char_acting) key_action3(char_acting)
",1.2227694988250732
94,0,0,-1,0,0,1,0,blocked,2,1,-2,0,2,2,-1,2,0,0,0,hidden,2,1,2,0,1,0,-2,2,1,0,0,hidden,0,0,-2,1,-1,-1,-1,"No solution exists.
",0.9440982341766357
95,2,1,-2,0,0,0,0,?,-1,1,-1,1,1,0,1,1,0,0,0,hidden,0,0,1,0,2,2,2,4,1,0,0,?,-2,1,-2,1,-1,1,1,"key_action3(char_acting)
",1.0101511478424072
96,1,2,0,4,1,0,0,hidden,0,0,1,1,2,1,-1,4,1,0,0,?,0,1,2,1,1,1,-2,3,1,0,0,hidden,-1,1,-2,0,0,0,-1,"key_action2(char_acting)
",0.9888174533843994
97,2,2,0,2,1,1,0,?,2,1,2,1,1,2,1,0,1,0,0,blocked,-1,1,0,1,0,1,-2,0,0,0,0,?,-2,1,-1,1,0,-1,0,"change_ship_magic_up(char_acting) change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.3655965328216553
98,1,0,-2,4,0,0,0,hidden,1,1,0,1,0,0,-1,1,0,1,0,?,2,1,-2,0,2,1,1,2,1,1,0,blocked,2,1,0,1,0,-1,0,"change_knowledge_up(char_acting) change_knowledge_up(char_acting) change_health_up(char_acting, char_acting) change_relation_down(char_acting, char2, char1) key_action2(char_acting)
",1.1292829513549805
99,1,2,0,0,1,1,0,hidden,0,0,0,1,1,1,1,3,0,0,0,?,0,0,-2,1,1,1,2,2,0,0,0,blocked,1,1,-2,1,-1,-1,1,"change_ship_status_up(char_acting) change_ship_status_up(char_acting) key_action3(char_acting)
",1.211085557937622
100,1,0,0,4,1,0,0,blocked,2,0,-1,0,1,1,2,1,0,1,0,hidden,2,1,0,0,2,1,-1,3,1,1,0,?,0,0,-2,0,1,1,-1,"unblock_yourself(char_acting) change_health_up(char_acting, char_acting) change_health_up(char_acting, char_acting) key_action2(char_acting)
",0.9997854232788086
101,1,1,1,3,1,1,0,blocked,2,0,-2,0,2,1,2,0,0,1,0,hidden,-1,0,-1,1,2,1,1,2,1,0,0,hidden,1,0,-1,0,1,1,-1,"unblock_yourself(char_acting) key_action2(char_acting)
",0.9558546543121338
102,1,0,2,4,0,1,0,blocked,0,1,0,1,1,0,1,0,0,1,0,blocked,1,1,0,1,0,2,1,4,0,0,0,blocked,-2,0,-2,0,1,0,1,"unblock_yourself(char_acting) hide(char_acting) change_knowledge_up(char_acting) change_knowledge_up(char_acting) key_action2(char_acting)
",3.657184600830078
103,0,2,0,0,0,1,0,blocked,0,1,2,0,0,1,2,3,1,0,0,hidden,-2,1,2,1,2,2,2,4,0,0,0,hidden,1,1,2,1,0,0,-1,"No solution exists.
",0.7993345260620117
