index,Unnamed: 0,char_acting_altruism,char_acting_ambition,char_acting_fighting_ability,char_acting_safety,char_acting_food,char_acting_satisfaction,char_acting_likes_char1,char_acting_likes_char2,char1_altruism,char1_ambition,char1_fighting_ability,char1_safety,char1_food,char1_satisfaction,char1_likes_char_acting,char1_likes_char2,char2_altruism,char2_ambition,char2_fighting_ability,char2_safety,char2_food,char2_satisfaction,char2_likes_char_acting,char2_likes_char1,ghost_relations,overall_food,overall_coins,results,helps_all,helps_ego,survives
23,23,1,1,-1,-1,0,0,-1,0,1,-1,1,2,0,1,-1,0,1,1,-1,0,0,0,0,1,1,1,0,"help_everyone(char_acting)
",1,0,0
24,24,-1,0,-1,2,0,-1,1,1,-1,-1,-1,2,0,0,0,0,-1,-1,-1,-1,0,1,-1,0,0,1,0,"survive(char_acting)
",0,0,1
25,25,1,0,1,0,0,-1,-1,0,0,1,0,-1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
26,26,1,-1,-1,1,0,0,0,0,-1,1,-1,1,0,1,-1,1,1,1,0,2,0,0,-1,1,0,0,1,"survive(char_acting)
",0,0,1
27,27,1,-1,0,0,0,1,1,0,0,0,0,-1,0,0,-1,1,0,-1,1,1,0,0,-1,0,0,1,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
28,28,-1,-1,1,0,0,1,0,0,-1,1,1,1,0,-1,0,1,1,0,1,2,0,0,-1,0,1,1,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
29,29,-1,1,0,1,0,-1,-1,0,0,-1,0,-1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,"No solution exists.
",0,0,0
30,30,-1,0,1,1,0,1,-1,0,-1,0,-1,2,0,1,0,0,0,-1,-1,0,0,-1,0,0,1,0,1,"survive(char_acting)
",0,0,1
31,31,-1,1,0,2,0,0,1,0,-1,-1,-1,0,0,1,0,0,0,1,1,2,0,-1,0,1,1,0,1,"No solution exists.
",0,0,0
32,32,0,0,-1,0,0,1,0,0,1,-1,0,0,0,-1,-1,0,-1,-1,1,-1,0,1,1,0,1,0,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
33,33,1,0,1,-1,0,-1,1,0,0,1,0,0,0,0,1,1,1,-1,-1,0,0,-1,1,0,1,1,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
34,34,1,0,1,0,0,0,1,0,-1,-1,0,1,0,1,1,0,0,1,0,0,0,-1,0,0,0,1,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
35,35,0,1,-1,0,0,1,-1,1,-1,-1,-1,1,0,0,1,0,-1,0,0,0,0,0,1,1,1,1,1,"help_everyone(char_acting)
",1,0,0
36,36,0,-1,-1,1,0,0,-1,1,0,1,0,1,0,0,0,0,1,0,-1,1,0,1,-1,1,0,0,1,"survive(char_acting)
",0,0,1
37,37,0,1,1,2,0,1,0,1,1,-1,1,0,0,-1,0,0,-1,1,0,1,0,1,-1,0,0,0,1,"fight_monster(char_acting) help_everyone(char_acting)
",1,0,0
38,38,-1,-1,0,-1,0,1,1,0,0,1,-1,1,0,-1,0,1,1,-1,-1,2,0,1,1,1,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
39,39,-1,0,-1,1,0,-1,1,0,0,-1,1,-1,0,1,0,1,1,0,-1,0,0,0,0,1,0,1,0,"survive(char_acting)
",0,0,1
40,40,0,1,-1,0,0,0,0,1,-1,-1,-1,-1,0,1,-1,1,0,0,-1,1,0,0,-1,0,0,1,0,"help_everyone(char_acting)
",1,0,0
41,41,1,1,-1,2,0,-1,1,0,0,0,-1,2,0,1,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,"help_everyone(char_acting)
",1,0,0
42,42,0,1,-1,-1,0,-1,0,0,-1,1,0,1,0,1,-1,1,1,0,1,1,0,1,0,1,0,0,1,"sacrifice_money(char_acting) ghost_deal(char_acting) help_everyone(char_acting)
",1,0,0
43,43,1,-1,1,-1,0,-1,0,1,1,-1,1,-1,0,-1,0,0,0,0,0,-1,0,1,-1,0,0,0,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
44,44,0,1,-1,1,0,0,0,1,0,-1,0,1,0,-1,0,1,-1,-1,0,0,0,0,1,0,0,0,0,"No solution exists.
",0,0,0
45,45,-1,1,0,1,0,0,1,0,0,1,1,2,0,0,-1,0,-1,-1,1,1,0,1,0,1,0,0,1,"No solution exists.
",0,0,0
46,46,1,-1,1,-1,0,1,0,0,1,-1,0,1,0,-1,1,1,-1,1,1,1,0,0,1,0,0,1,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
47,47,0,0,-1,2,0,-1,0,1,-1,0,-1,2,0,0,-1,1,0,1,0,2,0,0,0,0,1,0,1,"survive(char_acting)
",0,0,1
48,48,1,-1,1,2,0,0,0,0,1,1,0,0,0,-1,1,0,1,0,-1,1,0,1,1,0,0,0,1,"survive(char_acting)
",0,0,1
49,49,0,0,0,1,0,-1,0,0,-1,0,-1,0,0,1,0,1,0,1,-1,1,0,1,1,0,0,0,1,"survive(char_acting)
",0,0,1
50,50,1,-1,0,1,0,1,1,1,0,1,-1,1,0,1,0,1,0,-1,1,1,0,0,0,0,1,0,0,"survive(char_acting)
",0,0,1
51,51,-1,0,0,1,0,1,0,0,0,1,-1,-1,0,-1,1,1,1,1,-1,1,0,1,-1,0,0,1,1,"survive(char_acting)
",0,0,1
52,52,1,0,0,-1,0,-1,1,0,0,0,1,0,0,0,-1,1,0,-1,0,1,0,-1,0,0,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
53,53,0,0,-1,2,0,1,-1,1,1,-1,0,-1,0,1,-1,1,-1,-1,1,1,0,1,0,1,0,0,0,"survive(char_acting)
",0,0,1
54,54,-1,0,-1,-1,0,0,1,0,1,-1,0,1,0,0,0,1,1,1,0,1,0,-1,1,1,0,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
55,55,1,1,-1,1,0,-1,-1,0,0,-1,1,-1,0,0,1,0,1,1,1,1,0,0,-1,1,0,1,0,"help_everyone(char_acting)
",1,0,0
56,56,-1,0,1,-1,0,-1,0,1,0,-1,0,1,0,-1,1,1,0,0,0,0,0,-1,-1,0,1,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
57,57,0,-1,1,2,0,-1,1,0,-1,1,0,2,0,-1,-1,0,0,-1,0,1,0,1,0,0,1,1,1,"survive(char_acting)
",0,0,1
58,58,0,-1,1,2,0,-1,0,0,1,1,-1,1,0,1,-1,0,1,0,-1,1,0,-1,1,1,0,1,1,"survive(char_acting)
",0,0,1
59,59,0,0,1,0,0,-1,-1,0,1,-1,1,2,0,-1,-1,0,-1,1,-1,-1,0,-1,1,0,1,0,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
60,60,0,1,-1,2,0,1,-1,0,-1,1,0,-1,0,1,1,1,-1,0,-1,-1,0,1,-1,1,1,0,1,"ghost_deal(char_acting) help_everyone(char_acting)
",1,0,0
61,61,0,0,-1,2,0,0,-1,0,1,-1,1,1,0,1,0,0,-1,0,0,-1,0,-1,-1,0,1,1,0,"survive(char_acting)
",0,0,1
62,62,1,1,0,2,0,1,1,1,0,-1,1,-1,0,1,0,0,-1,1,-1,-1,0,0,0,1,0,1,0,"help_everyone(char_acting)
",1,0,0
63,63,-1,1,-1,2,0,1,0,0,0,0,1,0,0,-1,-1,0,1,0,1,1,0,0,-1,0,1,0,0,"No solution exists.
",0,0,0
64,64,0,1,-1,2,0,0,0,1,-1,0,0,2,0,-1,1,0,-1,1,-1,2,0,-1,0,0,0,1,1,"help_everyone(char_acting)
",1,0,0
65,65,0,0,0,2,0,1,1,1,0,-1,0,1,0,1,0,0,-1,1,-1,-1,0,0,1,1,1,1,1,"survive(char_acting)
",0,0,1
66,66,0,0,-1,0,0,-1,0,1,0,1,-1,2,0,-1,0,0,-1,0,0,0,0,0,-1,1,1,0,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
67,67,-1,1,1,0,0,0,-1,0,-1,-1,0,-1,0,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,"No solution exists.
",0,0,0
68,68,1,-1,-1,-1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,-1,-1,0,0,1,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
69,69,-1,1,0,-1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,0,0,1,"No solution exists.
",0,0,0
70,70,0,1,-1,2,0,1,1,1,-1,-1,1,2,0,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,"fight_monster(char2) help_everyone(char_acting)
",1,0,0
71,71,-1,1,0,1,0,1,1,0,1,-1,1,2,0,-1,-1,0,-1,0,0,2,0,1,-1,1,0,1,1,"No solution exists.
",0,0,0
72,72,0,-1,-1,-1,0,0,-1,1,1,0,1,2,0,0,1,0,-1,0,-1,0,0,0,0,1,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
73,73,0,1,0,1,0,-1,-1,0,1,1,-1,2,0,0,0,1,0,0,0,1,0,-1,-1,1,0,0,0,"No solution exists.
",0,0,0
74,74,1,-1,0,1,0,0,1,0,0,-1,0,-1,0,-1,1,1,0,0,-1,2,0,0,-1,1,0,1,1,"survive(char_acting)
",0,0,1
75,75,-1,-1,-1,2,0,0,-1,1,1,1,1,1,0,-1,0,0,1,-1,1,-1,0,1,1,0,0,0,1,"survive(char_acting)
",0,0,1
76,76,-1,1,-1,0,0,0,1,0,-1,-1,1,1,0,1,1,0,1,-1,0,0,0,-1,0,0,1,1,0,"No solution exists.
",0,0,0
77,77,-1,-1,1,0,0,-1,1,1,1,1,-1,1,0,0,1,0,-1,-1,-1,1,0,0,0,0,0,1,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
78,78,1,0,-1,2,0,0,1,0,0,1,0,-1,0,1,1,0,0,-1,-1,0,0,1,-1,0,1,1,0,"survive(char_acting)
",0,0,1
79,79,0,0,-1,2,0,1,1,0,0,1,1,1,0,1,0,0,0,-1,1,0,0,0,0,1,0,1,0,"survive(char_acting)
",0,0,1
80,80,0,1,-1,-1,0,0,1,0,-1,1,1,0,0,0,-1,1,1,0,0,0,0,-1,0,0,0,1,0,"help_everyone(char_acting)
",1,0,0
81,81,0,1,-1,-1,0,-1,0,0,0,-1,0,2,0,1,0,1,-1,1,1,-1,0,1,1,1,0,0,0,"Time limit reached.
",0,0,0
82,82,-1,1,1,-1,0,-1,1,1,1,0,-1,0,0,0,-1,0,-1,1,0,0,0,-1,-1,1,0,1,1,"No solution exists.
",0,0,0
83,83,1,-1,-1,2,0,-1,0,1,0,-1,-1,1,0,0,-1,0,1,-1,-1,1,0,1,1,1,1,0,1,"survive(char_acting)
",0,0,1
84,84,1,1,-1,0,0,1,-1,1,0,-1,0,0,0,-1,0,0,1,0,1,-1,0,-1,-1,1,0,0,1,"Time limit reached.
",0,0,0
85,85,-1,0,0,1,0,-1,-1,1,1,-1,0,2,0,0,0,0,-1,0,0,0,0,1,0,0,1,0,0,"survive(char_acting)
",0,0,1
86,86,0,0,0,0,0,-1,0,0,0,1,1,-1,0,-1,-1,1,0,-1,1,1,0,0,-1,1,0,0,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
87,87,1,1,1,0,0,1,1,0,0,-1,0,2,0,-1,-1,0,1,1,1,2,0,1,0,1,1,1,1,"help_everyone(char_acting)
",1,0,0
88,88,1,1,-1,0,0,-1,1,0,-1,-1,1,1,0,-1,0,0,1,1,1,1,0,0,1,1,1,1,0,"help_everyone(char_acting)
",1,0,0
89,89,0,-1,0,-1,0,-1,0,0,0,1,0,0,0,1,-1,1,-1,-1,-1,2,0,0,0,1,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
90,90,0,-1,0,1,0,-1,1,0,1,0,1,0,0,1,0,1,-1,-1,0,-1,0,-1,-1,1,1,0,0,"survive(char_acting)
",0,0,1
91,91,-1,1,0,2,0,1,-1,0,1,-1,0,2,0,1,1,1,0,0,-1,1,0,1,-1,0,0,0,0,"No solution exists.
",0,0,0
92,92,-1,1,1,1,0,0,1,0,-1,0,-1,1,0,0,-1,1,0,-1,-1,2,0,0,0,1,1,0,1,"No solution exists.
",0,0,0
93,93,1,0,1,1,0,0,0,1,1,1,-1,2,0,-1,-1,0,1,0,1,2,0,0,0,1,0,0,0,"survive(char_acting)
",0,0,1
94,94,0,1,1,-1,0,-1,1,0,1,1,-1,2,0,1,1,1,0,-1,-1,2,0,-1,-1,1,0,0,0,"fight_monster(char_acting) help_everyone(char_acting)
",1,0,0
95,95,1,-1,0,2,0,0,1,1,0,-1,0,1,0,0,-1,1,0,1,1,2,0,-1,0,1,0,1,1,"survive(char_acting)
",0,0,1
96,96,1,1,-1,-1,0,0,0,0,1,1,0,0,0,-1,-1,1,-1,1,1,0,0,1,0,1,0,0,1,"Time limit reached.
",0,0,0
97,97,-1,0,-1,-1,0,0,1,1,1,-1,-1,0,0,-1,-1,1,0,0,1,0,0,1,1,1,1,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
98,98,1,-1,-1,-1,0,0,-1,0,-1,1,1,2,0,1,0,1,-1,1,1,0,0,0,0,1,1,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
99,99,1,-1,-1,0,0,0,-1,1,0,-1,0,2,0,1,0,0,1,-1,-1,1,0,0,-1,0,0,1,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
100,100,1,1,-1,1,0,-1,0,0,0,0,0,1,0,1,0,0,1,-1,0,-1,0,-1,-1,1,1,0,1,"ghost_deal(char_acting) help_everyone(char_acting)
",1,0,0
101,101,-1,1,1,1,0,-1,0,0,-1,0,0,-1,0,0,1,1,0,-1,-1,0,0,1,-1,0,0,1,1,"No solution exists.
",0,0,0
102,102,-1,0,1,1,0,-1,1,1,1,-1,1,0,0,-1,-1,1,0,1,0,2,0,1,0,0,1,0,1,"survive(char_acting)
",0,0,1
103,103,1,-1,1,-1,0,1,-1,1,1,1,-1,2,0,0,1,1,-1,-1,-1,0,0,-1,0,0,0,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
104,104,0,-1,-1,-1,0,-1,1,1,-1,0,0,0,0,1,0,1,-1,-1,-1,2,0,1,-1,0,1,1,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
105,105,0,0,1,2,0,1,-1,0,0,1,1,-1,0,-1,0,0,0,0,0,0,0,-1,1,0,1,0,1,"survive(char_acting)
",0,0,1
106,106,1,-1,1,-1,0,1,-1,0,-1,1,-1,-1,0,0,1,0,0,1,1,0,0,1,-1,1,1,0,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
107,107,0,1,1,-1,0,0,1,1,0,1,1,1,0,-1,-1,1,0,1,0,-1,0,-1,-1,0,0,1,1,"help_everyone(char_acting)
",1,0,0
108,108,-1,1,-1,0,0,0,1,1,0,-1,1,-1,0,0,1,1,-1,1,-1,2,0,1,-1,0,1,0,0,"No solution exists.
",0,0,0
109,109,-1,0,0,2,0,1,0,1,-1,-1,1,2,0,-1,1,0,-1,0,-1,0,0,0,-1,1,1,0,1,"survive(char_acting)
",0,0,1
110,110,0,0,1,0,0,1,-1,0,1,-1,0,1,0,-1,1,1,0,-1,0,1,0,1,0,0,1,1,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
111,111,1,0,1,-1,0,0,-1,1,-1,-1,1,2,0,-1,1,1,1,0,-1,2,0,-1,-1,0,1,1,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
112,112,-1,-1,0,1,0,-1,-1,1,0,0,1,2,0,0,1,1,-1,0,0,1,0,0,0,1,1,0,1,"survive(char_acting)
",0,0,1
113,113,1,0,0,2,0,1,1,0,0,1,-1,-1,0,0,1,0,1,1,-1,0,0,0,-1,0,1,0,0,"survive(char_acting)
",0,0,1
114,114,0,1,1,2,0,1,1,1,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,-1,0,1,0,1,"ghost_deal(char_acting) help_everyone(char_acting)
",1,0,0
115,115,1,-1,-1,0,0,1,-1,1,-1,1,1,0,0,0,1,1,-1,1,0,0,0,1,1,1,0,1,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
116,116,1,-1,0,1,0,-1,0,1,0,1,-1,1,0,-1,1,0,-1,0,-1,0,0,-1,1,0,1,1,1,"survive(char_acting)
",0,0,1
117,117,1,0,0,2,0,0,-1,1,1,0,0,1,0,-1,0,0,0,-1,0,2,0,-1,1,1,0,0,0,"survive(char_acting)
",0,0,1
118,118,1,1,1,1,0,-1,1,1,1,1,1,0,0,0,1,1,-1,0,0,-1,0,-1,0,0,0,1,1,"help_everyone(char_acting)
",1,0,0
119,119,1,0,-1,0,0,0,0,0,-1,-1,0,1,0,-1,0,1,0,1,-1,0,0,-1,0,1,0,1,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
120,120,-1,1,0,2,0,1,1,0,1,0,1,1,0,0,1,0,0,1,-1,0,0,0,-1,1,0,1,0,"No solution exists.
",0,0,0
121,121,-1,0,0,2,0,1,-1,0,0,0,0,-1,0,1,1,1,-1,-1,1,1,0,0,1,1,1,0,1,"survive(char_acting)
",0,0,1
122,122,1,0,-1,0,0,0,1,1,-1,0,1,1,0,1,1,1,1,-1,-1,0,0,1,-1,0,0,0,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
123,123,-1,1,1,-1,0,1,1,0,0,1,1,0,0,-1,0,0,-1,-1,-1,1,0,-1,1,0,0,0,0,"No solution exists.
",0,0,0
124,124,-1,1,-1,0,0,0,1,0,0,-1,1,-1,0,0,-1,1,0,0,1,2,0,-1,0,0,0,1,0,"No solution exists.
",0,0,0
125,125,1,1,1,-1,0,0,0,1,-1,-1,0,2,0,-1,-1,0,-1,-1,1,0,0,0,-1,0,0,1,1,"help_everyone(char_acting)
",1,0,0
126,126,0,0,0,1,0,-1,1,0,1,-1,1,-1,0,-1,1,1,0,-1,1,2,0,0,0,1,1,1,0,"survive(char_acting)
",0,0,1
127,127,0,-1,-1,0,0,-1,0,1,-1,0,1,2,0,1,-1,1,-1,1,1,1,0,-1,-1,0,0,1,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
128,128,1,-1,-1,2,0,-1,1,0,-1,0,0,0,0,1,-1,1,1,-1,-1,2,0,-1,-1,1,0,1,0,"survive(char_acting)
",0,0,1
129,129,-1,-1,0,1,0,0,1,1,-1,0,1,2,0,-1,0,0,-1,0,1,0,0,-1,-1,1,1,0,1,"survive(char_acting)
",0,0,1
130,130,-1,1,0,0,0,-1,-1,0,-1,-1,1,2,0,1,-1,1,-1,0,0,1,0,-1,-1,0,1,0,0,"No solution exists.
",0,0,0
131,131,0,0,1,-1,0,-1,1,0,1,1,1,1,0,-1,-1,0,-1,-1,1,2,0,0,1,1,1,0,0,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
132,132,-1,-1,-1,0,0,-1,1,1,0,1,-1,0,0,0,0,0,1,0,0,2,0,1,1,0,1,0,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
133,133,-1,1,-1,1,0,1,0,1,0,0,0,2,0,1,-1,1,-1,-1,0,0,0,0,1,1,1,1,1,"No solution exists.
",0,0,0
134,134,1,0,0,0,0,-1,1,0,0,-1,0,2,0,-1,0,0,-1,0,0,-1,0,0,1,1,1,1,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
135,135,-1,1,1,1,0,-1,0,0,1,-1,0,1,0,-1,-1,1,-1,0,0,1,0,1,1,0,1,0,1,"No solution exists.
",0,0,0
136,136,0,-1,1,1,0,0,0,1,1,0,1,1,0,0,-1,0,0,1,0,1,0,-1,1,0,0,0,1,"survive(char_acting)
",0,0,1
137,137,1,1,0,2,0,0,0,0,1,0,-1,-1,0,-1,-1,1,1,0,-1,1,0,0,-1,1,1,1,0,"help_everyone(char_acting)
",1,0,0
138,138,0,0,0,-1,0,-1,-1,0,-1,1,1,2,0,0,1,0,-1,1,-1,-1,0,0,0,1,0,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
139,139,0,0,1,-1,0,0,1,0,1,1,-1,1,0,1,-1,0,-1,1,1,2,0,0,1,1,1,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
140,140,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,-1,1,1,-1,0,1,-1,1,1,0,0,"safe_alone(char_acting) survive(char_acting)
",0,0,1
141,141,-1,1,-1,0,0,0,-1,1,-1,0,-1,2,0,-1,0,0,1,1,-1,0,0,0,0,0,0,0,0,"No solution exists.
",0,0,0
142,142,1,1,-1,0,0,1,1,1,-1,0,0,-1,0,-1,1,1,0,-1,1,1,0,0,0,1,0,1,1,"help_everyone(char_acting)
",1,0,0
143,143,1,-1,1,-1,0,1,0,1,0,0,1,2,0,1,-1,1,1,1,1,1,0,0,-1,1,0,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
144,144,1,-1,-1,1,0,-1,1,0,0,-1,1,2,0,1,1,1,1,-1,1,2,0,0,-1,1,0,0,0,"survive(char_acting)
",0,0,1
145,145,-1,-1,-1,2,0,0,0,0,-1,-1,-1,0,0,-1,1,1,0,0,1,2,0,1,1,0,1,1,1,"survive(char_acting)
",0,0,1
146,146,1,1,1,0,0,0,-1,1,-1,1,0,1,0,-1,0,0,0,-1,0,-1,0,-1,0,1,1,0,0,"ghost_deal(char_acting) help_everyone(char_acting)
",1,0,0
147,147,-1,-1,1,2,0,-1,1,0,0,1,-1,1,0,-1,0,0,0,1,-1,0,0,0,1,1,0,1,1,"survive(char_acting)
",0,0,1
148,148,1,0,1,-1,0,-1,-1,1,-1,1,-1,2,0,0,0,1,1,-1,1,-1,0,-1,-1,1,0,0,1,"safe_alone(char_acting) safe_alone(char_acting) survive(char_acting)
",0,0,1
149,149,0,1,-1,1,0,-1,0,0,-1,0,-1,0,0,-1,1,0,0,-1,0,2,0,1,-1,0,1,0,1,"ghost_deal(char_acting) help_everyone(char_acting)
",1,0,0
150,150,1,0,1,2,0,0,-1,1,1,0,1,0,0,-1,1,0,0,0,-1,2,0,-1,-1,0,0,1,0,"survive(char_acting)
",0,0,1
151,151,1,-1,1,0,0,0,0,1,1,0,1,1,0,0,-1,1,-1,1,0,0,0,1,1,0,0,0,1,"safe_alone(char_acting) survive(char_acting)
",0,0,1
152,152,-1,0,0,2,0,0,1,1,0,0,0,2,0,1,0,1,0,1,0,0,0,-1,0,1,1,1,1,"survive(char_acting)
",0,0,1
153,153,0,0,-1,1,0,1,0,0,0,0,1,1,0,-1,-1,1,0,1,-1,1,0,-1,0,1,0,1,0,"survive(char_acting)
",0,0,1
154,154,1,-1,0,1,0,0,1,1,0,-1,-1,1,0,-1,-1,1,-1,1,1,-1,0,1,1,0,1,0,1,"survive(char_acting)
",0,0,1
