world_state,pirates_relation,pirates_power,pirates_treasure,pirates_knows_location_treasure,char1_power,char1_injured,char1_state,char1_at,char1_treasure,char1_altruism,char1_ambition,char1_knows_location_treasure,char1_has_access_pirates,char2_power,char2_injured,char2_state,char2_at,char2_treasure,char2_altruism,char2_ambition,char2_knows_location_treasure,char2_has_access_pirates,char3_power,char3_injured,char3_state,char3_at,char3_treasure,char3_altruism,char3_ambition,char3_knows_location_treasure,char3_has_access_pirates,ship_distraction,pirate_base_distraction,treasure_place_distraction,results,time
0,0,0,0,0,0,0,0,pirate_base,3,0,1,1,0,1,1,0,pirate_base,1,1,0,0,1,1,1,0,ship,2,1,1,1,1,1,1,0,"stun(char1, char2, pirate_base) take_treasure_char(char1, char2, pirate_base)
",3.056734085083008
2,0,0,2,0,0,0,0,treasure_place,1,1,0,1,0,0,0,0,treasure_place,3,1,0,1,0,0,1,0,treasure_place,0,1,0,1,0,0,1,1,"travel(char1, ship) escape_pirates_help(char1)
",3.4023234844207764
0,1,2,1,1,1,1,2,pirate_base,0,0,0,1,0,0,1,0,treasure_place,3,1,1,0,1,0,1,0,pirate_base,2,1,0,1,0,1,0,0,"travel(char1, ship) escape(char1)
",3.673022985458374
2,1,1,2,1,1,0,2,pirate_base,3,0,0,1,0,1,0,2,treasure_place,0,1,0,1,0,0,0,0,treasure_place,3,0,1,1,1,0,1,1,"travel(char1, ship) escape_pirates_help(char1)
",3.2996270656585693
0,0,1,1,0,0,1,2,ship,0,0,0,1,1,0,1,0,pirate_base,1,0,0,1,0,0,1,2,ship,0,0,1,1,1,0,1,0,"distraction(char1, ship) escape(char1)
",3.1091983318328857
0,0,2,1,1,0,1,2,pirate_base,1,1,0,1,1,0,1,0,ship,2,0,1,1,0,0,0,2,ship,1,1,1,0,1,0,0,0,"travel(char1, ship) distraction(char1, ship) escape(char1)
",2.6903204917907715
1,0,2,2,1,1,0,0,ship,0,0,0,0,1,1,0,2,treasure_place,0,1,0,0,1,1,1,0,ship,3,1,1,1,0,0,1,1,"escape_pirates_help(char1)
",2.4972832202911377
0,0,2,2,0,0,0,2,treasure_place,0,1,1,0,0,0,0,2,pirate_base,3,1,0,0,0,0,0,2,treasure_place,3,0,0,0,1,0,1,1,"wait_for_night(char1) get_access_pirates(char1) take_pirates_treasure(char1)
",2.4415392875671387
1,1,2,0,1,1,1,2,pirate_base,3,1,0,0,0,1,1,0,pirate_base,0,0,1,0,1,0,0,0,pirate_base,0,0,0,1,0,1,1,0,"travel(char1, ship) escape(char1)
",2.2931673526763916
1,0,2,1,1,0,1,2,pirate_base,0,0,1,0,0,1,0,0,pirate_base,0,1,0,1,1,0,1,0,pirate_base,3,0,0,0,0,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",4.457285165786743
1,1,0,2,1,0,1,2,pirate_base,2,1,0,0,0,0,0,2,pirate_base,3,1,1,1,1,1,0,2,pirate_base,1,0,0,0,1,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",2.7399942874908447
0,0,1,0,0,0,1,0,treasure_place,0,1,1,0,0,0,1,0,ship,0,0,1,0,1,0,1,0,ship,0,0,1,0,0,0,0,1,"travel(char1, ship) distraction(char1, ship) escape(char1)
",2.7327122688293457
1,0,0,2,0,1,0,2,pirate_base,0,0,0,1,0,0,1,2,pirate_base,3,0,1,1,1,1,1,2,treasure_place,3,0,0,1,0,1,1,1,"travel(char1, ship) escape(char1)
",2.5818283557891846
1,1,0,2,0,0,0,2,pirate_base,3,1,0,1,1,0,1,0,pirate_base,3,1,1,1,0,1,0,0,ship,2,1,1,1,1,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",2.847987413406372
0,0,1,1,0,0,1,2,ship,2,1,0,0,0,1,1,0,treasure_place,0,1,0,0,0,0,1,2,treasure_place,0,1,0,1,0,0,1,0,"distraction(char1, ship) escape(char1)
",2.7290725708007812
1,0,2,0,0,1,0,2,pirate_base,1,1,1,1,1,0,0,2,ship,1,1,0,1,0,1,0,2,treasure_place,0,0,1,0,1,0,1,0,"get_treasure(char1)
",2.1863038539886475
1,0,2,2,0,1,0,2,treasure_place,2,0,0,0,1,1,1,0,treasure_place,1,0,1,1,0,1,0,2,treasure_place,1,1,0,1,1,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",2.3904452323913574
1,1,1,1,0,0,1,2,pirate_base,1,1,0,1,1,0,1,0,ship,1,0,1,0,0,1,0,2,treasure_place,0,1,0,0,0,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",2.15079927444458
1,0,1,1,0,0,0,2,pirate_base,1,1,1,0,1,0,0,2,ship,1,0,1,1,0,0,0,2,ship,0,1,1,1,1,1,0,0,"take_pirates_treasure(char1)
",2.552995204925537
0,1,2,0,0,1,1,2,pirate_base,3,0,1,0,1,0,0,0,pirate_base,0,0,0,0,0,0,0,2,ship,0,1,1,0,0,0,1,0,"travel(char1, ship) distraction(char1, ship) escape(char1)
",3.4694252014160156
2,0,1,1,1,1,0,0,ship,2,1,1,0,0,0,1,0,pirate_base,1,1,1,0,1,1,0,2,ship,0,0,1,1,1,0,1,0,"get_access_pirates(char1) take_pirates_treasure(char1)
",3.2162857055664062
2,1,0,1,0,1,0,2,ship,3,1,0,0,0,0,1,2,ship,1,0,0,1,0,0,0,0,ship,0,1,0,1,0,0,1,1,"escape_pirates_help(char1)
",2.744131088256836
0,1,0,1,1,1,0,2,treasure_place,0,0,1,1,0,0,0,2,treasure_place,0,0,1,0,1,1,0,2,treasure_place,3,0,1,1,1,1,1,1,"take_treasure_char(char1, char3, treasure_place)
",2.795266628265381
1,1,1,1,1,1,0,0,pirate_base,3,0,0,1,0,1,1,2,pirate_base,2,1,1,0,0,1,0,0,pirate_base,0,0,0,0,0,1,0,1,"travel(char1, ship) escape(char1)
",3.0062873363494873
2,0,2,1,0,1,0,0,pirate_base,3,0,0,0,0,1,0,2,ship,3,1,0,0,0,1,0,0,ship,3,0,1,0,0,0,1,1,"travel(char1, ship) escape_pirates_help(char1)
",3.1163339614868164
2,0,2,1,1,0,0,0,treasure_place,1,1,1,1,1,0,0,2,ship,3,0,0,0,1,1,1,0,treasure_place,1,1,1,1,0,0,1,1,"get_treasure(char1)
",3.304591417312622
2,1,2,0,1,0,0,2,ship,0,0,1,0,1,0,1,0,ship,0,1,0,0,0,1,0,0,ship,0,1,1,0,0,1,0,1,"No solution exists.
",2.653521776199341
1,1,2,2,1,0,1,2,ship,2,0,0,1,0,0,0,0,ship,2,1,0,1,0,1,0,0,ship,1,0,0,1,0,1,1,1,"escape(char1)
",3.4086883068084717
2,1,1,2,0,0,0,0,ship,2,1,1,1,1,0,0,0,ship,2,0,1,0,1,0,0,0,treasure_place,1,1,0,0,0,0,0,1,"take_pirates_treasure(char1)
",2.774094820022583
0,0,2,1,0,1,0,2,pirate_base,2,1,0,1,0,1,0,0,pirate_base,1,1,1,0,0,1,0,2,treasure_place,1,1,0,1,0,0,1,0,"travel(char1, ship) distraction(char1, ship) escape(char1)
",2.7972395420074463
0,0,0,2,1,0,1,2,ship,3,1,0,0,0,1,0,0,ship,1,1,0,0,0,0,1,0,ship,1,0,1,0,1,0,1,1,"escape_pirates_help(char1)
",2.407019853591919
1,0,2,1,0,1,0,0,pirate_base,1,1,0,1,1,0,0,2,ship,1,1,1,0,0,1,0,0,pirate_base,3,0,1,1,0,1,0,1,"travel(char1, ship) escape(char1)
",3.0348775386810303
2,0,0,1,0,1,1,0,treasure_place,1,0,0,0,0,1,0,0,ship,0,1,0,0,0,0,0,0,ship,3,1,0,1,0,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",2.8422281742095947
2,0,1,1,1,0,0,2,pirate_base,2,0,0,1,0,0,0,2,treasure_place,0,0,0,0,0,1,0,2,ship,2,1,1,1,1,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",3.2419097423553467
0,0,0,1,0,1,1,0,pirate_base,2,1,0,0,0,1,0,2,ship,1,1,1,1,0,0,1,2,ship,0,1,0,0,1,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",3.6642518043518066
2,1,1,1,1,1,1,0,treasure_place,2,0,0,0,1,0,1,2,pirate_base,3,0,1,1,1,1,1,0,treasure_place,0,0,0,1,1,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.8431618213653564
0,1,2,2,0,0,0,0,treasure_place,1,1,1,0,0,0,1,2,treasure_place,1,0,0,0,0,0,1,0,pirate_base,0,1,0,1,1,0,1,0,"get_access_pirates(char1) take_pirates_treasure(char1)
",3.8142666816711426
2,0,0,2,0,1,1,2,treasure_place,2,0,0,1,0,0,1,0,ship,3,0,1,0,1,1,0,0,pirate_base,3,1,1,0,0,1,0,1,"travel(char1, ship) escape(char1)
",2.89400577545166
0,0,0,2,1,0,0,2,treasure_place,3,1,1,1,1,0,1,2,pirate_base,2,1,1,1,1,0,1,2,pirate_base,1,0,1,0,0,0,0,0,"take_pirates_treasure(char1)
",2.641896963119507
1,1,0,0,1,0,1,2,pirate_base,1,1,1,1,0,1,1,2,treasure_place,1,1,1,1,0,0,1,0,treasure_place,3,0,0,1,0,0,1,1,"get_treasure(char1)
",2.84124755859375
0,0,2,0,0,1,1,2,treasure_place,2,0,1,0,0,1,0,0,pirate_base,1,1,1,0,0,0,0,2,ship,3,1,1,1,1,1,1,1,"travel(char1, ship) escape(char1)
",3.0031609535217285
2,1,2,0,1,0,1,0,pirate_base,1,0,1,1,0,1,0,0,ship,3,1,1,1,1,0,1,0,treasure_place,0,0,0,1,1,1,0,1,"get_treasure(char1)
",2.914963722229004
2,1,2,1,0,1,0,2,ship,2,1,1,1,0,1,0,2,ship,2,0,0,0,0,0,1,2,ship,2,0,1,1,0,1,0,1,"get_access_pirates(char1) take_pirates_treasure(char1)
",2.676485776901245
2,1,2,1,1,1,0,2,treasure_place,3,0,0,0,0,0,0,2,pirate_base,3,1,0,1,1,1,1,2,ship,3,1,1,1,0,1,1,1,"travel(char1, ship) escape(char1)
",3.3242104053497314
2,0,1,1,0,0,0,0,ship,1,1,0,1,0,0,1,0,ship,0,0,0,1,0,1,0,2,pirate_base,3,1,0,0,1,0,1,1,"escape_pirates_help(char1)
",3.5398168563842773
1,1,0,2,1,1,1,0,treasure_place,3,1,0,0,1,0,0,2,pirate_base,0,0,0,1,1,0,0,0,ship,3,0,1,0,0,1,1,1,"travel(char1, ship) escape(char1)
",2.4935054779052734
2,0,1,1,0,1,1,2,pirate_base,0,1,0,1,1,0,1,2,ship,3,0,1,0,1,1,1,2,treasure_place,0,1,1,0,0,1,1,0,"travel(char1, ship) escape(char1)
",2.8164377212524414
1,0,2,1,1,1,1,2,ship,3,1,0,1,1,1,0,0,ship,0,0,0,0,1,0,0,0,treasure_place,0,1,0,0,1,1,1,1,"escape(char1)
",3.8346896171569824
0,1,0,0,1,1,1,0,treasure_place,2,1,0,1,0,0,1,0,treasure_place,3,1,0,0,1,0,0,2,ship,0,1,1,0,0,0,1,0,"travel(char1, ship) escape_pirates_help(char1)
",3.9391095638275146
2,0,1,1,0,0,1,2,treasure_place,1,1,0,1,0,1,1,0,treasure_place,2,0,1,0,0,0,1,2,treasure_place,0,1,0,1,1,1,1,1,"travel(char1, ship) escape(char1)
",2.806884288787842
0,1,2,1,1,0,1,2,treasure_place,2,1,0,1,1,1,0,0,treasure_place,1,1,1,0,0,1,1,0,treasure_place,1,1,0,1,0,1,0,0,"travel(char1, ship) escape(char1)
",2.7128005027770996
2,1,2,0,1,0,1,0,ship,0,1,1,1,0,0,1,2,ship,0,1,1,0,0,1,0,0,pirate_base,3,1,0,0,0,0,0,1,"escape_pirates_help(char1)
",2.614527940750122
2,0,2,2,1,0,1,0,pirate_base,0,0,0,1,1,1,0,2,treasure_place,1,1,1,0,1,1,0,2,pirate_base,2,1,1,0,1,1,0,0,"travel(char1, ship) escape(char1)
",3.371335744857788
2,0,1,2,1,0,0,0,treasure_place,2,0,1,0,1,0,1,0,ship,2,0,1,1,1,0,0,0,pirate_base,3,1,0,0,0,1,0,1,"take_pirates_treasure(char1)
",2.832155466079712
0,1,1,0,0,1,0,0,pirate_base,0,1,1,0,0,1,0,0,pirate_base,0,1,1,1,0,0,0,2,ship,1,0,1,1,1,0,1,0,"travel(char1, ship) take_treasure_location_char(char1, char3, ship) get_treasure(char1) get_treasure(char1)
",3.016634941101074
1,1,0,2,0,0,0,0,pirate_base,2,1,0,0,1,0,1,0,pirate_base,3,1,1,1,0,0,1,0,treasure_place,3,0,1,1,0,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.2627792358398438
0,0,2,0,1,0,0,0,ship,2,1,1,1,0,0,0,0,pirate_base,2,0,1,0,1,0,1,0,ship,1,1,1,0,0,1,0,1,"wait_for_night(char1) get_access_pirates(char1) travel(char1, pirate_base) give_pirates_treasure(char1) get_treasure(char1) take_pirates_treasure(char1)
",2.8585610389709473
0,0,1,0,0,1,1,0,treasure_place,3,0,0,1,1,0,0,0,pirate_base,3,1,0,0,1,1,1,0,treasure_place,0,0,1,1,0,1,1,0,"travel(char1, ship) escape(char1)
",3.003572940826416
1,0,0,1,1,0,0,0,ship,3,0,1,1,0,1,1,2,pirate_base,0,0,1,1,0,1,0,2,pirate_base,2,1,1,1,0,0,1,0,"get_access_pirates(char1) take_pirates_treasure(char1)
",2.5765016078948975
0,0,0,2,0,1,1,2,pirate_base,3,1,0,0,1,1,1,2,pirate_base,0,0,1,0,0,0,0,0,treasure_place,2,1,0,0,1,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.85967755317688
2,1,0,0,1,1,0,0,treasure_place,1,0,1,0,0,1,0,2,treasure_place,0,0,1,1,1,0,0,0,treasure_place,2,0,0,0,0,0,0,1,"stun(char1, char3, treasure_place) take_treasure_char(char1, char3, treasure_place)
",3.5170130729675293
0,0,0,2,0,0,0,2,ship,0,1,1,0,1,1,0,2,treasure_place,0,1,0,0,1,0,0,0,pirate_base,2,0,0,1,1,0,0,0,"take_pirates_treasure(char1)
",3.531878709793091
0,1,1,2,1,1,0,2,treasure_place,1,1,1,1,1,1,0,0,ship,1,1,1,0,1,0,0,2,pirate_base,1,1,0,1,0,1,1,0,"get_treasure(char1)
",3.4223835468292236
0,1,1,2,1,0,1,0,treasure_place,2,1,0,1,1,1,1,2,ship,1,1,0,1,1,0,1,2,ship,3,1,0,1,1,0,1,0,"travel(char1, ship) distraction(char1, ship) escape(char1)
",3.7106316089630127
0,1,1,2,1,1,0,0,treasure_place,2,1,0,1,0,1,1,0,pirate_base,1,0,0,1,1,0,1,2,treasure_place,0,1,0,1,1,1,1,0,"travel(char1, ship) escape(char1)
",4.0591139793396
2,0,2,2,0,1,0,0,ship,2,1,1,0,1,0,0,2,ship,1,1,0,0,0,1,0,2,ship,0,0,0,0,1,1,0,0,"take_pirates_treasure(char1)
",3.2437946796417236
2,1,0,2,1,1,1,2,pirate_base,0,1,1,0,0,0,1,2,ship,0,1,0,1,0,0,1,2,treasure_place,0,1,1,1,0,1,0,0,"take_treasure_pirates(char1)
",2.35548734664917
2,1,2,2,0,0,1,0,ship,0,1,0,0,1,1,0,2,pirate_base,3,1,0,0,0,0,1,0,treasure_place,3,0,1,1,1,1,0,1,"escape(char1)
",2.077080011367798
2,1,1,2,0,0,1,0,ship,0,1,1,1,0,0,1,2,ship,0,1,0,0,1,1,1,2,treasure_place,3,1,0,1,1,0,0,1,"escape_pirates_help(char1)
",2.740809917449951
1,1,0,2,0,1,0,0,treasure_place,1,0,0,1,1,1,0,2,ship,3,0,1,1,0,1,1,0,ship,3,0,1,1,1,1,1,1,"travel(char1, ship) escape(char1)
",2.9641788005828857
0,0,0,0,0,1,1,0,pirate_base,3,1,1,1,1,0,1,2,ship,3,1,1,1,1,1,0,2,pirate_base,2,1,0,0,1,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.284788131713867
1,0,0,2,1,0,1,0,treasure_place,2,1,1,1,0,0,0,0,pirate_base,0,0,1,0,1,0,1,2,ship,1,0,0,1,0,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.026158332824707
1,0,1,2,1,0,1,2,treasure_place,2,1,0,1,1,1,1,0,pirate_base,1,0,1,1,0,1,1,0,pirate_base,2,1,0,1,0,0,1,1,"travel(char1, ship) escape_pirates_help(char1)
",3.3924715518951416
2,1,0,1,1,0,1,0,ship,1,0,1,0,0,0,1,0,pirate_base,2,0,0,0,1,0,1,0,treasure_place,0,1,1,1,1,1,0,1,"escape(char1)
",2.997636079788208
2,1,0,0,0,1,0,2,treasure_place,0,1,1,0,1,0,1,0,pirate_base,2,0,1,0,0,0,0,2,pirate_base,1,0,1,1,1,0,1,0,"travel(char1, pirate_base) take_treasure_location_char(char1, char3, pirate_base) get_treasure(char1) get_treasure(char1)
",3.1915132999420166
1,1,2,2,0,0,1,2,ship,1,1,0,1,0,1,1,2,ship,3,1,1,0,1,1,1,0,pirate_base,2,0,1,1,0,1,1,1,"escape(char1)
",2.916383981704712
0,0,1,1,1,1,0,2,ship,1,1,1,0,0,1,1,0,treasure_place,1,1,0,0,0,1,0,2,treasure_place,2,1,0,1,0,0,1,0,"wait_for_night(char1) get_access_pirates(char1) take_pirates_treasure(char1)
",3.996318817138672
1,0,2,0,1,0,1,0,pirate_base,0,1,1,0,1,1,1,0,treasure_place,2,0,0,0,1,1,1,2,treasure_place,0,0,1,0,0,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.6291050910949707
2,0,0,0,1,1,1,0,ship,2,0,0,0,0,1,1,2,ship,1,1,0,0,0,0,1,2,treasure_place,2,1,0,1,0,0,1,0,"escape_pirates_help(char1)
",3.173637628555298
1,0,1,0,0,1,0,0,ship,2,0,0,1,1,0,0,2,ship,0,0,1,1,0,1,1,0,ship,2,0,0,1,1,1,1,1,"escape(char1)
",2.350908041000366
0,1,2,2,1,0,0,0,pirate_base,0,0,1,0,0,1,0,2,ship,0,1,0,1,0,1,0,2,treasure_place,0,1,0,0,1,0,0,0,"distraction(char1, pirate_base) take_treasure_pirates(char1)
",3.4155385494232178
2,1,0,2,1,1,1,2,treasure_place,0,1,1,0,0,1,0,0,pirate_base,0,1,1,1,0,1,0,0,pirate_base,2,0,0,0,0,1,0,1,"travel(char1, ship) escape(char1)
",3.684680223464966
0,0,1,1,1,0,1,2,pirate_base,1,0,1,0,1,1,0,2,ship,1,1,1,0,0,1,1,2,ship,2,1,1,1,0,0,1,0,"take_treasure_pirates(char1)
",3.6053359508514404
0,0,0,1,0,0,0,0,treasure_place,1,1,1,0,1,0,1,0,ship,2,1,0,1,1,0,0,0,treasure_place,0,0,1,1,1,0,1,0,"take_pirates_treasure(char1)
",2.448681354522705
2,1,1,2,1,1,1,2,ship,2,0,0,1,1,1,1,2,pirate_base,3,1,0,1,0,1,0,0,ship,0,1,0,0,0,0,0,1,"escape_pirates_help(char1)
",2.70100736618042
1,0,0,1,1,1,1,2,treasure_place,0,0,0,0,0,1,0,0,pirate_base,2,1,0,1,0,1,0,0,ship,0,0,0,0,0,1,0,0,"travel(char1, ship) escape(char1)
",2.873013496398926
1,0,2,0,0,0,0,2,ship,3,1,1,0,0,0,0,2,pirate_base,3,0,0,1,0,1,1,0,ship,2,0,1,0,1,1,1,1,"Time limit reached.
",7.423778533935547
0,1,2,1,1,1,1,0,ship,3,1,1,1,0,0,1,0,ship,1,1,1,0,0,0,0,2,treasure_place,3,1,1,0,0,1,0,0,"escape(char1)
",2.6106386184692383
2,1,1,1,0,0,1,2,treasure_place,2,0,1,0,1,1,0,0,ship,2,0,1,0,1,0,0,0,treasure_place,0,0,0,0,1,0,1,0,"take_pirates_treasure(char1)
",2.6879286766052246
1,0,2,0,1,1,1,2,ship,0,1,1,1,0,1,1,0,pirate_base,1,1,0,0,0,0,1,2,ship,1,1,0,1,1,0,0,1,"escape_pirates_help(char1)
",3.1227262020111084
2,0,2,2,0,1,1,2,pirate_base,2,1,1,1,0,1,1,2,treasure_place,2,1,1,1,1,1,0,2,ship,1,0,1,1,0,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",3.144334316253662
0,1,2,0,1,1,0,2,ship,3,0,0,1,0,1,1,0,treasure_place,1,1,0,0,0,0,1,0,ship,2,1,1,0,0,1,0,0,"escape(char1)
",4.072980642318726
2,0,0,1,1,1,1,0,treasure_place,2,0,0,0,0,1,1,0,treasure_place,0,1,0,1,0,0,1,2,pirate_base,2,1,0,0,0,1,0,1,"travel(char1, ship) escape(char1)
",4.373297452926636
1,0,2,1,0,0,0,0,pirate_base,0,1,0,0,0,0,0,2,ship,2,0,0,1,1,1,1,0,ship,3,0,1,1,0,0,0,0,"travel(char1, ship) escape_pirates_help(char1)
",4.312220096588135
2,0,0,0,1,1,0,0,ship,0,0,1,0,0,1,0,2,pirate_base,3,1,0,0,0,0,0,0,treasure_place,2,1,0,0,0,0,1,0,"get_access_pirates(char1) travel(char1, pirate_base) take_treasure_char(char1, char2, pirate_base)
",2.627495765686035
0,1,0,2,0,1,0,2,treasure_place,2,1,1,0,0,0,1,0,ship,2,1,0,0,0,0,0,0,pirate_base,3,0,1,1,1,1,1,0,"get_access_pirates(char1) take_pirates_treasure(char1)
",2.9524378776550293
0,1,1,1,1,1,1,2,treasure_place,3,0,0,0,1,1,1,0,pirate_base,1,1,0,1,0,0,0,2,treasure_place,0,0,0,0,1,1,0,1,"travel(char1, ship) escape(char1)
",2.9576902389526367
2,0,2,1,1,1,1,2,ship,0,1,1,1,0,0,1,0,treasure_place,0,0,0,1,0,0,1,0,pirate_base,0,0,0,0,1,0,0,1,"escape_pirates_help(char1)
",2.8575363159179688
2,0,1,1,1,0,1,2,pirate_base,1,0,0,1,1,0,0,2,treasure_place,3,1,0,0,1,0,1,2,pirate_base,1,0,0,0,0,0,0,1,"travel(char1, ship) escape_pirates_help(char1)
",2.50455379486084
2,0,1,1,0,0,0,0,treasure_place,3,0,1,0,1,0,0,0,ship,1,1,0,0,0,1,1,2,ship,2,1,0,1,0,1,1,0,"take_pirates_treasure(char1)
",2.2347099781036377
1,0,1,2,0,0,0,2,pirate_base,2,0,0,0,1,1,0,2,pirate_base,1,1,0,1,0,1,0,0,pirate_base,3,1,0,1,0,1,1,1,"travel(char1, ship) escape(char1)
",2.433502435684204
